#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5824.266531983556    All      0.4109067386349674         0.25043153176778077        -3.8916492825811484       -0.22593848813706974      
Zeropoint     AB|PS|PS_g                4586.281792069036    All      -0.8539814309623852        1.004329158362438          1.380215820253894         0.6669055885015006        
Zeropoint     AB|PS|PS_z                8107.282281595006    All      0.4536468614335143         -0.11531370183108791       0.7278498795342425        -0.15284857647179512      
Zeropoint     AB|PS|PS_i                7054.448170664047    All      0.9874633800863871         -0.14258935825406382       1.7757271212552008        -0.28885280870634805      
Check         All|All|All               All                  All      0.9980355491924838         0.9968576300450671         -0.007856461537810722     -0.0007342848137122937    
Lambda        AB|PS|PS_r                5824.266531983556    All      -0.00011726080935782319    -3.7039054095025675e-05    -0.000454065041426724     5.868027552878282e-06     
Lambda        AB|PS|PS_g                4586.281792069036    All      -0.00017794697838349275    4.017072327522237e-05      -0.0007042103045431093    3.962243971866747e-05     
Lambda        AB|PS|PS_z                8107.282281595006    All      0.00012694612823617012     1.794816264924585e-05      0.0009395402610953        6.423143382127633e-06     
Lambda        AB|PS|PS_i                7054.448170664047    All      -0.0007321153970170852     8.379343431480057e-05      -0.0018924691433215477    0.00018131614289799148    
MWEBV         All|All|All               All                  All      -0.5956575328968694        -3.8508459156881614        0.34067548432044353       -1.0451191665926356       
Redshift      All|All|All               All                  All      5.778333645873872          -0.1273749514062672        5.606789512593382         -1.673478317281709        
