#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5824.266531983556    All      0.42960512142483986        0.1340733709225439         -3.695403757652502        -0.2611733111728628       
Zeropoint     AB|PS|PS_g                4586.281792069036    All      -0.81417831760569          1.0010445478909724         1.3964304734335102        0.6535940848068579        
Zeropoint     AB|PS|PS_z                8107.282281595006    All      0.43888938239974085        -0.07491036548156194       1.0406780763289463        -0.12092079850952349      
Zeropoint     AB|PS|PS_i                7054.448170664047    All      0.920137694430759          -0.09522697760083187       1.4201877326977266        -0.26736122236221577      
Check         All|All|All               All                  All      0.9744538806496494         0.9649805757311225         0.16189252480768124       0.004138752762255837      
Lambda        AB|PS|PS_r                5824.266531983556    All      -0.00020163697212151292    -4.7950121307849006e-05    -0.0007256212291922949    1.7679720656130136e-05    
Lambda        AB|PS|PS_g                4586.281792069036    All      -0.00015231555593767907    -0.00013387177968767259    -0.0019473520324350593    -8.089363263635072e-05    
Lambda        AB|PS|PS_z                8107.282281595006    All      -9.966591788785867e-05     1.3516230736916011e-05     -0.000651424678958225     7.797057852605163e-06     
Lambda        AB|PS|PS_i                7054.448170664047    All      -0.0007626144675512681     6.912382442272821e-05      -0.0021326892364982417    0.0001757523995354193     
MWEBV         All|All|All               All                  All      -0.6789263785526578        -3.8679629013289585        -0.8931804371797636       -1.0786326523354817       
Redshift      All|All|All               All                  All      4.807083293131455          0.1665849698825106         -3.5064840960597143       -1.6680412522505295       
