#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6546.531036505506    All      0.8124216996801656         0.09618529253707653       0.5593328111926948         -0.20834130684354718      
Zeropoint     AB|SDSS|SDSS_u            3141.826363670068    All      -0.18097360881803634       0.07651521032179254       0.3259173222905254         0.09841677273408171       
Zeropoint     AB|SDSS|SDSS_z            7783.279692398306    All      0.13683618522080185        0.007461550972465147      0.13801477601484424        -0.035982609099121515     
Zeropoint     AB|SDSS|SDSS_g            4131.33718941528     All      -0.49898436169045124       0.5830727011454151        -0.8561296173570487        0.3142564512240882        
Zeropoint     AB|SDSS|SDSS_r            5398.422670777291    All      0.6515306696910089         0.22605552695402764       -0.2484345696856377        -0.14967774553221944      
Check         All|All|All               All                  All      0.9208305840834888         0.989290281930777         -0.08129927754462185       0.01867156248328175       
Lambda        AB|SDSS|SDSS_i            6546.531036505506    All      -0.0001314356958498707     -3.030741598940468e-05    -5.6918161623759745e-05    3.0400811634531248e-05    
Lambda        AB|SDSS|SDSS_u            3141.826363670068    All      -0.00010366094590939105    1.6966484474922626e-05    -0.0001820529164036877     3.1168137080458784e-05    
Lambda        AB|SDSS|SDSS_z            7783.279692398306    All      -2.5848817778945964e-05    -6.740272343662148e-06    -0.00015085910508947216    -5.078670885908373e-07    
Lambda        AB|SDSS|SDSS_g            4131.33718941528     All      -0.00031318983032343947    0.0002482182019127368     -0.0019820912014632108     9.441743896928872e-05     
Lambda        AB|SDSS|SDSS_r            5398.422670777291    All      3.962852424673996e-06      1.8928198642951032e-05    -0.00022421174639715083    -5.130834865841249e-06    
MWEBV         All|All|All               All                  All      -0.9162737235246512        -3.3520262922476007       0.40978320283755476        -0.7751180032358973       
Redshift      All|All|All               All                  All      3.039562681590782          0.0567296330011402        -1.7359837247510335        -1.0490758367689035       
