#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6546.531036505506    All      1.0599004720934453         0.0944869462708553         1.3327717152806011         -0.2549914660681263       
Zeropoint     AB|SDSS|SDSS_u            3141.826363670068    All      -0.07155601121897176       0.05720500016064278        0.6034950788187873         0.0688729111328301        
Zeropoint     AB|SDSS|SDSS_z            7783.279692398306    All      0.153599603110413          0.008126538726394017       0.3129813568634163         -0.03341844250610129      
Zeropoint     AB|SDSS|SDSS_g            4131.33718941528     All      -0.7321034689558276        0.6447806448351301         -1.0585788311063156        0.4012569426480106        
Zeropoint     AB|SDSS|SDSS_r            5398.422670777291    All      0.5865032340665924         0.1962427745462847         -1.1385508316293358        -0.1779289652943084       
Check         All|All|All               All                  All      0.9963438290956513         1.0008419045393069         0.05211848822715326        0.0037909799123047316     
Lambda        AB|SDSS|SDSS_i            6546.531036505506    All      -0.00020028616868793557    -3.27215214679974e-05      -0.00020690127158831713    4.5348264824866036e-05    
Lambda        AB|SDSS|SDSS_u            3141.826363670068    All      -4.520579334109407e-05     3.846504974776133e-05      0.0004357186763876054      4.669846962669621e-05     
Lambda        AB|SDSS|SDSS_z            7783.279692398306    All      -1.8195596289648705e-05    -2.1426232273818062e-08    -5.582786564303112e-05     3.428583864586197e-06     
Lambda        AB|SDSS|SDSS_g            4131.33718941528     All      -0.0004430224233305275     0.0003453927254106347      -0.0016115976770308873     0.00018489454950746927    
Lambda        AB|SDSS|SDSS_r            5398.422670777291    All      0.00011538448590306403     5.009449140198704e-05      -0.00012329364947623954    -2.67691284948931e-05     
MWEBV         All|All|All               All                  All      -0.7306189873538145        -3.3697767305325144        1.0561604579648558         -0.8125289121946303       
Redshift      All|All|All               All                  All      3.1519895422199875         -0.41881938122951823       -2.961842671513597         -1.2953033776699898       
