#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5472.059612153775     All      0.20460336503554324        0.13768055185474637        0.05579663267809478        -0.01930901449638368       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5373.144546895263     All      0.06708270624920948        0.07417668202909233        0.04799656626131132        0.00445260760836564        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5461.2632750753055    All      0.16119510787284302        0.13406854130462165        -0.15720438031846026       -0.01585132464881122       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R        6349.3439218358535    All      0.19234860276255691        -0.023675009795987023      -0.01647978262097135       -0.071101414585543         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4442.790713886292     All      -0.17008686641265724       0.13570131451312584        0.016173728023867084       0.10032702985832342        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B        4316.197689836601     All      -0.09877238814420333       0.07325375461499917        -0.00543385285589836       0.055792086292490044       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6351.681189850773     All      0.2309495261974031         -0.025596729965560172      0.022340165211746858       -0.08256861678467556       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6197.524317403237     All      0.3978037727909889         -0.03122819429286494       0.06378575944082324        -0.13690336092523162       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4366.523442004896     All      -0.4140717208262366        0.31354129962206656        0.005519334454204241       0.23725380106466748        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V        5327.52995587224      All      0.03580061188882705        0.05314960962135018        0.04601865540382508        0.007704740561188004       
Zeropoint     AB|CNIa02|SDSS_i                      7467.309436930087     All      0.1461977056536615         -0.033593288438371616      0.018247846533486076       -0.057749524142327535      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I        8204.515927944143     All      0.05503911251094217        -0.014173887710278166      0.005856756794176173       -0.022283591055510813      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7520.549820138593     All      0.14503028259727102        -0.030728404984881053      0.054790432228554196       -0.05480534148757008       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7869.877320551423     All      0.09540282549155653        -0.02257872808208994       0.024601236124405082       -0.03733263329791628       
Zeropoint     AB|CNIa02|SDSS_r                      6157.718084469771     All      0.3624853754927365         -0.036624487442704634      -0.061848978147865635      -0.13276324851521132       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4365.33462081532      All      -0.41459542951654416       0.292786269441514          -0.12012385951107483       0.22505691537623482        
Check         All|All|All                           All                   All      0.996412589643898          0.9961592922887785         3.625970022368141e-05      -8.088917791168604e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5472.059612153775     All      -1.581356212520201e-05     -2.291530814228193e-05     -0.00036508834096942144    -1.860548818563214e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5373.144546895263     All      1.4111104607404959e-05     1.6340025023163042e-05     -4.507696173685798e-05     -1.2855450626030813e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5461.2632750753055    All      -1.8974906864579455e-05    -3.645530345439481e-05     -0.0005630475438136915     -3.082016615384075e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R        6349.3439218358535    All      -5.2334332808742876e-05    2.4339698288632563e-06     -4.110107412059869e-05     1.600568582510883e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B        4442.790713886292     All      -5.11663051702784e-05      2.994013901053097e-05      -5.4330832961528714e-05    2.3994501649863174e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B        4316.197689836601     All      -2.2738361418414424e-05    1.1807948087256126e-05     -2.3150960686886806e-05    1.0219748498881778e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6351.681189850773     All      -6.312229991770307e-05     3.842311829065806e-06      -4.400146586701567e-05     1.984899378598949e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6197.524317403237     All      -0.00011527741338488196    -3.693297379346979e-06     -0.00020144454507442993    2.735707274603846e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4366.523442004896     All      -0.00011889729176928068    3.393364059424986e-05      -0.0002592443281347988     3.8213178960606874e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V        5327.52995587224      All      8.735440762299236e-06      1.3464719185842334e-05     -1.3115281119873129e-05    9.552068111141625e-07      
Lambda        AB|CNIa02|SDSS_i                      7467.309436930087     All      -2.6883771877894466e-05    -6.211822388910947e-06     -0.00010696894960324033    1.9600011053223426e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I        8204.515927944143     All      -5.797760349600812e-06     1.0514323742303262e-06     -4.1247482642030374e-06    2.046938831151571e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7520.549820138593     All      -3.422467779898531e-05     1.8036407516619009e-06     -6.665188243827151e-05     8.761241256222807e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I        7869.877320551423     All      7.424123712393201e-06      5.061908512088788e-07      2.3113932908907654e-05     -1.2219296588481999e-06    
Lambda        AB|CNIa02|SDSS_r                      6157.718084469771     All      -4.6169938452530744e-05    -1.5053804334973139e-05    -0.00019928528255338388    1.2423616963335554e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4365.33462081532      All      -0.00014352360224533246    3.102692569037413e-05      -0.0003959238761941368     3.918858530850484e-05      
MWEBV         All|All|All                           All                   All      -0.8824979464783866        -4.096182387811709         0.01944508725077855        -1.045935004684028         
Redshift      All|All|All                           All                   All      4.659012568260804          -0.3231800228948867        -0.8596391391145604        -1.6612257828059889        
