#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5472.059612153775     All      0.20380721113725572        0.14995525466012793        0.04626185312860409        -0.015476899869221183      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5373.144546895263     All      0.0627514234058192         0.08046401797905389        0.041172240398446025       0.007606902771277457       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5461.2632750753055    All      0.1577794487215217         0.13640735777755708        -0.20082129503777857       -0.01592332520004569       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R        6349.3439218358535    All      0.1764998807964034         -0.022443057349397222      -0.03587127939443935       -0.06640303043089213       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4442.790713886292     All      -0.13384791322371775       0.11133455068690346        0.024414001714667677       0.0809534795262315         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B        4316.197689836601     All      -0.0904892795957714        0.07012090030995566        0.008493714806734332       0.052695054994869595       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6351.681189850773     All      0.20390686758256432        -0.024163417391775965      -0.011230475043888521      -0.07479115962715083       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6197.524317403237     All      0.37969910631085363        -0.032075019510680036      0.015808594751764993       -0.13342291476890616       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4366.523442004896     All      -0.38045261550673376       0.3189850486478907         0.10626825783630611        0.2325721223056021         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V        5327.52995587224      All      0.034162177844874145       0.062389316435496056       0.05841436856910409        0.01180127266598996        
Zeropoint     AB|CNIa02|SDSS_i                      7467.309436930087     All      0.1167722166894474         -0.026145390877374552      0.021100931320461314       -0.04561132898238396       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I        8204.515927944143     All      0.0387584939131172         -0.010190335323834177      0.00028122438336941613     -0.015931694298511323      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7520.549820138593     All      0.12916225439632653        -0.024998139033538536      0.06999036787117552        -0.04709176320244757       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7869.877320551423     All      0.07352803833842243        -0.018010025465065027      0.010765030977222256       -0.029336565003129644      
Zeropoint     AB|CNIa02|SDSS_r                      6157.718084469771     All      0.3287553758671274         -0.03667324437861552       -0.11389678863440444       -0.12411481442627242       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4365.33462081532      All      -0.381690787125207         0.2861227634058938         -0.08236506306816826       0.213853269345525          
Check         All|All|All                           All                   All      0.9191018995523033         1.0210805805725975         -0.04121431542082332       0.0313786058005347         
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5472.059612153775     All      -5.0544699316420116e-05    4.711846520309041e-06      -0.000364351861164227      1.7395247091954552e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5373.144546895263     All      -4.802665414779256e-06     3.060603351019074e-05      -4.6018224658207326e-05    9.480196139021366e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5461.2632750753055    All      -3.73426743529473e-05      -2.2575490984403494e-05    -0.0005794966162261008     -2.1050115001443657e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R        6349.3439218358535    All      -4.634589499300903e-05     -8.334214935039793e-11     -4.594160108512188e-05     1.3046192932312045e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B        4442.790713886292     All      -4.080671162506207e-05     3.52827978512461e-05       -3.668823793381653e-05     2.3147628950936583e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B        4316.197689836601     All      -2.932980272687061e-05     1.9183101650797513e-05     -1.7480483996080005e-05    1.5022175267167807e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6351.681189850773     All      -5.618290323645408e-05     -1.0742738272091228e-06    -5.50946660423212e-05      1.549207171382637e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6197.524317403237     All      -0.00011826282832379894    -6.8653770435099115e-06    -0.0002592601768623489     2.4716223794836234e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4366.523442004896     All      -0.0001407733137951584     8.195372599118231e-05      -0.0001501429636255896     6.584933347545112e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V        5327.52995587224      All      -1.0413804597610794e-05    2.581534343651536e-05      -9.097753282246466e-06     1.1395034473764948e-05     
Lambda        AB|CNIa02|SDSS_i                      7467.309436930087     All      -2.9816853052810773e-05    -5.704413500056141e-06     -0.00010420473532709025    3.2040360954212603e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I        8204.515927944143     All      -5.82068006296096e-06      9.735793436809391e-07      -5.43308466835604e-06      1.970660197744991e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7520.549820138593     All      -3.383969350004413e-05     2.4049025900067732e-06     -6.11629823427324e-05      9.076634367783898e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I        7869.877320551423     All      1.3310863289287214e-05     -3.278687039407713e-07     3.0337409399208634e-05     -3.0887644643441044e-06    
Lambda        AB|CNIa02|SDSS_r                      6157.718084469771     All      -3.632771096145104e-05     -2.4589582213220514e-05    -0.00023926259946720243    -6.8536962145850865e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4365.33462081532      All      -0.00014625995485286484    5.6048803942691325e-05     -0.0003366548808971377     5.087525736568349e-05      
MWEBV         All|All|All                           All                   All      -0.8804843033139109        -4.098781734045565         0.009925888042805475       -1.0478624052344592        
Redshift      All|All|All                           All                   All      4.3570809489156535         -0.8636752389126645        -2.5214845812446316        -1.8130943242536917        
