#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5459.068517728021    All      0.819334665025335          0.15379951092775457        0.05500025199447955        -0.21433228650629865       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6182.810913434744    All      1.1313836154240544         -0.11180124015064408       0.03050136522349463        -0.40358507118536796       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4356.156976292176    All      -0.592123468118307         0.377909969864465          -0.007733151431833821      0.3156267088718602         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4690.273873444708    All      -0.7967047467815344        0.6490319990446913         -0.20724360511608644       0.4616756911808866         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7502.695450893417    All      0.43718086119272986        -0.07151381169281379       0.1311295919717563         -0.15984687908319645       
Check         All|All|All                      All                  All      0.9990709267422779         0.997426427993453          0.0016544526418102168      -0.00046183672211624893    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5459.068517728021    All      4.824124455493238e-05      -2.2027836361382824e-05    -0.0007258166616885684     -5.527881549434824e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6182.810913434744    All      -0.0002660875617627746     1.7226632495282434e-05     -0.0001779254024662261     8.434476029973423e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4356.156976292176    All      -0.00017681062026200922    4.2227913268705175e-05     -0.00034276816226732655    5.605188771989924e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4690.273873444708    All      -0.0002531642858137276     -6.813571345149718e-05     -0.001249283340265462      4.520115552398085e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7502.695450893417    All      -9.362732611015616e-05     1.7740823000837924e-06     -0.00017802561021670502    2.313091199040761e-05      
MWEBV         All|All|All                      All                  All      -0.8835128495275986        -4.081503070023196         0.024527976029875248       -1.0405960546513044        
Redshift      All|All|All                      All                  All      5.69539704759277           0.48308401318015726        2.742343574916374          -1.5754436366935083        
