#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5459.068517728021    All      0.7753695747382189         0.18201586925403745        0.15537242190943878       -0.18634126504318838      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6182.810913434744    All      1.1340618217961866         -0.1219540238373007        0.1634076589561717        -0.40183354930178883      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4356.156976292176    All      -0.5134702599454748        0.3476459933703602         0.03848593789151922       0.28221134423679906       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4690.273873444708    All      -0.9244717134007865        0.6784447559888385         -0.6057779584551004       0.49508954041735387       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7502.695450893417    All      0.5264321663909007         -0.08714573776149592       0.26296404777911286       -0.18812763179369973      
Check         All|All|All                      All                  All      0.9979215895790446         0.9990068570144395         0.014452108081142168      0.0009984385154759856     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5459.068517728021    All      0.00011016581771921982     2.1734035048489327e-05     -0.0007985198780697336    -6.443941562419675e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6182.810913434744    All      -0.00010896866309993403    -2.5285594769827264e-05    -0.0003460723710466204    1.1814707979387545e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4356.156976292176    All      -0.0002829507784198388     0.0001247843272859646      -0.0003032229064051108    0.00011928129235449617    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4690.273873444708    All      -0.00047388774421578653    0.00012348124313015467     -0.0011862227268546943    0.00014164705985890818    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7502.695450893417    All      -0.00010677628888413358    -4.492448564903688e-06     -0.0002690049061013873    2.1312758365908742e-05    
MWEBV         All|All|All                      All                  All      -0.8796699474851537        -4.0856723146402985        0.02873534289841162       -1.0430181189505088       
Redshift      All|All|All                      All                  All      5.740572764778974          -0.863300932763611         2.0831452642236403        -2.0581377186788097       
