#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7071.305611171612     All      0.18182951104525774        0.006374247279339329       0.7052652267673709         -0.02567880381068033       
Zeropoint     AB|SDSS|SDSS_r            4904.602947858444     All      0.7622160230587152         0.3895458232891613         -0.07147354586272137       -0.12458048063607383       
Zeropoint     AB|SDSS|SDSS_i            5947.6883115690935    All      1.114559231753974          0.1554370731923882         -0.2643935195736663        -0.32421630968833165       
Zeropoint     AB|SDSS|SDSS_g            3753.42387832813      All      -1.0581204097524894        0.44721563362717376        -0.359097102515768         0.47431261900162963        
Check         All|All|All               All                   All      1.0004843561054575         0.9985727773880626         0.010301058815215258       -0.00016297513345614467    
Lambda        AB|SDSS|SDSS_z            7071.305611171612     All      -6.052080304128662e-05     -3.278076427913076e-06     -0.0001725170365420803     1.0947196288960438e-05     
Lambda        AB|SDSS|SDSS_r            4904.602947858444     All      0.00023050011782590958     -8.976929842893722e-05     0.001455814746541006       -3.935595960219184e-05     
Lambda        AB|SDSS|SDSS_i            5947.6883115690935    All      -0.00017704202935759684    -2.1034187252662227e-05    -1.3490474789216065e-05    5.02148687487987e-05       
Lambda        AB|SDSS|SDSS_g            3753.42387832813      All      -0.0019044263756613153     0.0006268898820092229      -0.0025538952778701635     0.0007105643663199759      
MWEBV         All|All|All               All                   All      -0.5236183056767194        -2.997051339883683         0.23380523060839709        -0.7952448591575286        
Redshift      All|All|All               All                   All      5.582403621944801          -0.10576721498072317       6.882255252464025          -1.5457009339863037        
