#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7071.305611171612     All      0.17235130322181091       0.006131946916099196       0.46862822031185564       -0.03323038766221091      
Zeropoint     AB|SDSS|SDSS_r            4904.602947858444     All      0.7416128664696268        0.3797140934700849         0.06899336438278844       -0.1148034795045928       
Zeropoint     AB|SDSS|SDSS_i            5947.6883115690935    All      1.1518906141610366        0.13893723802489433        -0.4974927422842057       -0.3521530559703839       
Zeropoint     AB|SDSS|SDSS_g            3753.42387832813      All      -1.067483858662655        0.47368352714514117        -0.03631832215310404      0.5003882005448929        
Check         All|All|All               All                   All      0.9983709251898192        0.9984668055562196         0.0038105202573343044     0.00020127740770525815    
Lambda        AB|SDSS|SDSS_z            7071.305611171612     All      -7.378080723710064e-05    -2.9189766349744107e-06    -0.0002444006092926893    1.217555281075824e-05     
Lambda        AB|SDSS|SDSS_r            4904.602947858444     All      1.9492941245673737e-05    -8.716216584247745e-05     -0.0002658691375792187    -4.660559574478963e-05    
Lambda        AB|SDSS|SDSS_i            5947.6883115690935    All      -8.65174857287794e-05     -2.098165730972431e-05     0.000579668738614715      4.7215128862954745e-05    
Lambda        AB|SDSS|SDSS_g            3753.42387832813      All      -0.0018029291491791334    0.0006340065503690681      -0.0012575534558721562    0.000737671295144533      
MWEBV         All|All|All               All                   All      -0.537383141293323        -2.9986485524446493        0.125969808089704         -0.796093663662227        
Redshift      All|All|All               All                   All      6.197064075583809         -0.14168133924208348       10.97677254665752         -1.574894975874206        
