#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5035.550328012633     All      3.869339571856525         0.2720847465228715        0.3826238042787897        -1.1546694997222995        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4205.0489939492045    All      -2.8748304330690466       0.730260730028931         -0.3842495604085494       1.1571495027107515         
Check         All|All|All                            All                   All      0.9945091387874778        1.0023454765518025        -0.0016257561297596812    0.002480002988451968       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5035.550328012633     All      9.95500747934341e-05      -4.059727992666721e-05    -0.002058779979781976     -0.00013752449900659026    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4205.0489939492045    All      -0.0010529163278586021    0.00014917420602613644    -0.0013529473060053376    0.00033118461008534443     
MWEBV         All|All|All                            All                   All      -0.03375441788943201      -2.2003655623397123       0.009460620037715686      -0.705314345115672         
Redshift      All|All|All                            All                   All      7.679025815353565         0.8536021338329647        6.416786875734706         -1.936913315812686         
