#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5035.550328012633     All      3.803790161674443        0.1879279637536868        -0.3017380140940551       -1.191270457932131        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4205.0489939492045    All      -2.8096573656511463      0.8144309977176079        0.3006176395313087        1.1938999934803074        
Check         All|All|All                            All                   All      0.9941327960232966       1.0023589614712947        -0.0011203745627463846    0.002629535548176465      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5035.550328012633     All      0.0012572054772369149    1.5913899356706117e-05    -0.001807252364497476     -0.0004849788768131476    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4205.0489939492045    All      -0.001818077044346143    0.000385072130611204      -0.0009822983458173205    0.0006738027040978418     
MWEBV         All|All|All                            All                   All      -0.030758931000790746    -2.2015215195597904       0.011499464789754832      -0.7065756227631281       
Redshift      All|All|All                            All                   All      6.381179878308684        -0.08475911010563664      5.134601077101619         -1.8770353878994783       
