#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5139.504325937916    All      -2.1816027864996155       2.002828693242975          -0.23538398237449853      1.3525028906049785        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6154.56151201544     All      3.1770455956438113        -0.9965103048676482        0.24069020435930621       -1.3487235643368845       
Check         All|All|All                            All                  All      0.9954428091441967        1.0063183883753268         0.00530622198480768       0.0037793262680940742     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5139.504325937916    All      -0.0012788648552488143    0.0008314994661486366      -0.001829460842375698     0.0006057746534175832     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6154.56151201544     All      9.250428023235217e-05     -0.00026456045049050346    -0.0022924733396784878    -0.0002186102860777878    
MWEBV         All|All|All                            All                  All      -0.5012687184152576       -2.916648460523774         -0.011040059685341053     -0.78726131279655         
Redshift      All|All|All                            All                  All      7.251546839779163         -3.1487397845843645        3.765811429288146         -3.21966464447917         
