#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5139.504325937916    All      -2.09615826663045          1.8120709263527601        -0.6316068266867936       1.2448531132661629        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6154.56151201544     All      3.093986636395286          -0.8079109737298751       0.6363532677381384        -1.2425788965619011       
Check         All|All|All                            All                  All      0.9978283697648358         1.004159952622885         0.004746441051344807      0.0022742167042617556     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5139.504325937916    All      -0.00046498934943499924    1.1860449841572056e-05    -0.0021039505181660477    6.143601898626147e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6154.56151201544     All      -0.00063371892727815       1.22389590023927e-05      -0.001747844661875758     0.00013241145524546053    
MWEBV         All|All|All                            All                  All      -0.49940709336452827       -2.9200174586868854       -0.016425052661970398     -0.7892054063638589       
Redshift      All|All|All                            All                  All      8.176788271682726          -1.1303220791278434       4.195134141427075         -2.844422466916958        
