#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5373.319863070308    All      -0.039759214891897154     0.18356238673531422        -0.10236132649373286      0.06817527683959934        
Zeropoint     AB|PS|PS_z                            8483.792730712436    All      0.4427180245807981        -0.13659487438468787       0.32816455437763015       -0.17405679316473965       
Zeropoint     AB|PS|PS_r                            6094.751403679094    All      1.2051529193925328        -0.027524746621754304      -0.8007982884213449       -0.4372596193902317        
Zeropoint     AB|PS|PS_i                            7382.06393100856     All      0.49479760369577586       -0.15201043752908205       0.335585744800293         -0.1957110078785726        
Zeropoint     AB|PS|PS_g                            4799.273391144241    All      -1.101492815227161        1.129496777089667          0.2441538432874757        0.7376021722629356         
Check         All|All|All                           All                  All      1.0014165175500485        0.9969291052894569         0.004744527550321065      -0.0012499713310090144     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5373.319863070308    All      9.649150188710446e-06     4.548207341780611e-06      -8.919594284698131e-06    -2.059585427991361e-06     
Lambda        AB|PS|PS_z                            8483.792730712436    All      0.0005691112822585839     -0.00016973882418366834    0.00039007433856643803    -0.00022326056093115645    
Lambda        AB|PS|PS_r                            6094.751403679094    All      -0.0002626052116737474    -5.765037464289135e-05     -0.0008300966590281544    2.971713183843612e-05      
Lambda        AB|PS|PS_i                            7382.06393100856     All      -6.414496028372817e-05    -1.5095324648736036e-05    -0.0004464676584144889    -3.946721031854349e-06     
Lambda        AB|PS|PS_g                            4799.273391144241    All      -0.0004374627910959975    0.00017815214256165505     -0.0012611661666382227    0.00014424598333166646     
MWEBV         All|All|All                           All                  All      -0.6809349317089013       -4.090282845310256         0.15575996995582653       -1.1035859275952464        
Redshift      All|All|All                           All                  All      5.434387525882393         0.40249003606103173        8.227455007715644         -1.2719010272847942        
