#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5698.868926792816    All      0.6450840576902915         0.5964460272490868        -0.720102708554785        -0.04797788322905873      
Zeropoint     AB|SDSS|SDSS_u            3316.682988573732    All      -0.02140846104352885       0.03871222411007125       0.16107275318125208       0.026771222260401184      
Zeropoint     AB|SDSS|SDSS_z            8216.453859319554    All      0.1945635020130737         -0.06501654058759243      0.12333465187408317       -0.07904990074720415      
Zeropoint     AB|SDSS|SDSS_i            6910.874634581776    All      1.0824033307715704         -0.2905532740395955       0.6447276664814764        -0.41844590048964286      
Zeropoint     AB|SDSS|SDSS_g            4361.264497185495    All      -0.903485703209882         0.723163942516436         -0.19576606718253609      0.5211171643395148        
Check         All|All|All               All                  All      0.9971567262215247         1.002752379248406         0.013266295799490513      0.0024147021340102937     
Lambda        AB|SDSS|SDSS_r            5698.868926792816    All      -0.00038200772590405807    3.5784498546147895e-05    -0.0016427080966902484    6.278215478945992e-05     
Lambda        AB|SDSS|SDSS_u            3316.682988573732    All      -2.945472497101316e-05     4.246010830289821e-05     0.00017265016943007627    3.1129611233169974e-05    
Lambda        AB|SDSS|SDSS_z            8216.453859319554    All      2.519045652701341e-05      1.0684107625139364e-05    4.18065234665885e-05      -2.859561950147042e-06    
Lambda        AB|SDSS|SDSS_i            6910.874634581776    All      -0.0007473840258564797     -8.018492356150242e-05    -0.0013290407332679026    0.00015801971395350967    
Lambda        AB|SDSS|SDSS_g            4361.264497185495    All      -0.0008040082034151637     0.0006996949723038378     -0.0005829700275507222    0.00046379031985164577    
MWEBV         All|All|All               All                  All      -0.6736178118478473        -3.7257027201487602       0.23821327885380478       -0.9835341006833687       
Redshift      All|All|All               All                  All      8.020106052678885          -1.2037716845462398       12.078145002565279        -2.465528297027258        
