#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5698.868926792816    All      0.7234363034676629        0.6260455237315554         -0.41989999716540716      -0.050461589364093895     
Zeropoint     AB|SDSS|SDSS_u            3316.682988573732    All      -0.01872903906711853      0.008537238355188492       0.06559424030353478       0.011808693271625828      
Zeropoint     AB|SDSS|SDSS_z            8216.453859319554    All      0.22113857954350907       -0.07765629901896887       0.1968047125942174        -0.08854483157559288      
Zeropoint     AB|SDSS|SDSS_i            6910.874634581776    All      1.0708464580543573        -0.32853704380180204       0.7566457723397146        -0.42205961923310054      
Zeropoint     AB|SDSS|SDSS_g            4361.264497185495    All      -0.9969153149266891       0.7694007018697491         -0.5787940266021141       0.5495183176390712        
Check         All|All|All               All                  All      0.9997769870717216        0.9977901211357221         0.020350701469945554      0.00026097073790976033    
Lambda        AB|SDSS|SDSS_r            5698.868926792816    All      -0.0004562336702895639    8.541571443985116e-05      -0.0020790012804435933    8.365674570314097e-05     
Lambda        AB|SDSS|SDSS_u            3316.682988573732    All      -2.728318530266328e-05    2.125916895647567e-05      0.00012065345903457516    2.119605151364031e-05     
Lambda        AB|SDSS|SDSS_z            8216.453859319554    All      2.9647012751746764e-05    1.7297745827127892e-05     3.86373054584428e-05      -2.298357028277592e-06    
Lambda        AB|SDSS|SDSS_i            6910.874634581776    All      -0.0007730474973459711    -2.9434501351512958e-05    -0.0015389503582889387    0.00017354293058920964    
Lambda        AB|SDSS|SDSS_g            4361.264497185495    All      -0.0008323045293488857    0.0007164680956876801      -0.0008639180855225295    0.00046593350075569356    
MWEBV         All|All|All               All                  All      -0.6310147167307081       -3.746520621748317         0.39712662154397504       -0.9971008331811351       
Redshift      All|All|All               All                  All      8.801715516496941         -1.6080963229295975        17.111396842045522        -2.6272151374808796       
