#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6025.973912377979    All      0.42882594377518085        0.024567178688528202       0.14364653207450798        -0.12527009452522642       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4227.801569905571    All      -0.3381272418526501        0.19833801873243573        -0.09260915900784084       0.17061166312736536        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5164.599811962342    All      0.22892690581641573        0.21281777087347464        -0.35333832559679007       -0.021015141872866877      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              5978.402415063709    All      0.6879596827816531         -0.014761085160852616      -0.5093632692394019        -0.25162981623071784       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5217.746616673795    All      0.09753930970960628        0.08503058029338817        -0.04407771753620891       -0.006041490787843235      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7336.565113871438    All      0.22375423083150234        -0.03242785320525243       0.3394012604066081         -0.06830101347265455       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3455.061479257118    All      -0.15998334169885098       0.05762279921315283        0.056574601605270704       0.07340614375632766        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4618.477162389519    All      -0.2900189410283293        0.37630343876990935        0.2621844815714638         0.228743209698218          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7309.512379328813    All      0.3298365868038673         -0.056329744800276416      0.22134731035437608        -0.11590936484872774       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4214.738485091068    All      -0.214201123205703         0.1457020481180571         -0.023682827279245297      0.11617544755260702        
Check         All|All|All                                All                  All      0.9945120119326921         0.9968631515225646         8.288735273968839e-05      0.0007695423964813458      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6025.973912377979    All      -5.342169340753389e-05     -1.9559429398369357e-06    -3.0412392241845008e-05    1.5406922713538823e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4227.801569905571    All      -0.00022808578878933986    8.484202152682131e-05      -0.0003637992709377029     8.569619224680649e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5164.599811962342    All      -3.346388489792395e-05     5.696488881796159e-05      -0.0011891094141983903     -2.3608865156121804e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              5978.402415063709    All      -9.858668714193873e-05     6.11705398918907e-06       -0.0006257164112021054     6.182603516755495e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5217.746616673795    All      2.5577936852874164e-05     1.5202842835946207e-05     -7.66309869019349e-06      -3.721478350972139e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7336.565113871438    All      -9.668249185889342e-05     1.6531453685998496e-05     -0.00015926845325122134    2.9770087117092706e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3455.061479257118    All      -0.00037344198665521767    0.0001238931678844293      0.00016000063027041928     0.000169138514946806       
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4618.477162389519    All      -9.820733216918624e-05     -2.1625983836334636e-05    -0.0004599958710428004     4.4175615635139875e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7309.512379328813    All      -0.00011016899486680602    1.1274298781972546e-05     -0.0005414411318469558     1.539604514193668e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4214.738485091068    All      -9.605916846359699e-05     4.960380011277335e-05      -6.290403005141332e-05     4.464010308121391e-05      
MWEBV         All|All|All                                All                  All      -0.9231494127108912        -3.8695015895618745        0.0977491736963482         -0.9553617394314605        
Redshift      All|All|All                                All                  All      7.848457827670515          -0.4212899145028537        14.656601105744931         -2.0396721142300698        
