#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6025.973912377979    All      0.4799119472010741         0.04238137861660718        0.15791564406317793        -0.13547105060189302       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4227.801569905571    All      -0.33701903893305357       0.19505955983376566        -0.2139484880780751        0.16376796609124528        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5164.599811962342    All      0.20267277566011704        0.1651222413720177         -0.40671425704759123       -0.030381233714533995      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              5978.402415063709    All      0.6093761040454839         -0.005768520613802508      -0.5290992700703212        -0.22398411226674936       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5217.746616673795    All      0.1344332235498451         0.12018228449042212        -0.06309850760959357       -0.007457796287275997      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7336.565113871438    All      0.27155112424333083        -0.032699385467527264      0.5453726853169361         -0.0747669224177322        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3455.061479257118    All      -0.1459461157562435        0.05521500274348057        0.058969994344426624       0.06815635430778844        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4618.477162389519    All      -0.25269770315101153       0.31333355543869956        0.20012802282822761        0.19330579730201247        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7309.512379328813    All      0.3176507962201123         -0.04570684494398236       0.32631926953152757        -0.10379540756947081       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4214.738485091068    All      -0.2856749749745662        0.18968884042740441        -0.06513069034581598       0.1519351501057309         
Check         All|All|All                                All                  All      0.9942581381050886         0.9968081118970851         0.010714402932898714       0.0013087449491216985      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6025.973912377979    All      -0.00011459616027364406    -1.0093113450918717e-05    -3.5207059434219526e-05    3.2468951035907905e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4227.801569905571    All      -0.00015036542365618233    4.2367908518311055e-05     -0.00037896485948816225    4.586812587121015e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5164.599811962342    All      -6.816217045264596e-05     1.5159925832149711e-05     -0.001247743818310428      -2.8540327955613348e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              5978.402415063709    All      -0.00019713880663536183    2.579971008654047e-06      -0.000814019131733825      2.872904123663903e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5217.746616673795    All      1.845283767902993e-05      1.1845003599614495e-05     -1.4024421529943185e-05    -2.7782344719927206e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7336.565113871438    All      -0.00012630685010458223    1.9279186366975024e-05     -0.0002906471874527807     3.4451912635350585e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3455.061479257118    All      -0.0003328413986464566     0.00011228391342174294     0.00013897930668368895     0.00015119396647682897     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4618.477162389519    All      -5.031037929578807e-05     -6.653166433755513e-05     -0.0004947319142020526     -2.736141931187241e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7309.512379328813    All      -0.00017397474374435638    2.6879855543185417e-05     -0.0008433508197489629     2.7790077192812336e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4214.738485091068    All      -9.653472326177487e-05     2.525984174185978e-05      -0.00010794738001806852    3.485530095803234e-05      
MWEBV         All|All|All                                All                  All      -0.9296747476335918        -3.8605004961111966        0.11217595790937729        -0.9496604697863259        
Redshift      All|All|All                                All                  All      8.333723823302384          0.27684708995883156        16.53873493922775          -1.8863420347457165        
