#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6088.913977659125    All      1.2741014254867553         -0.11620708299657778      0.01567072155622453       -0.45216990867430956      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4258.760566708394    All      -0.9912181187737236        0.6037538135103659        -0.0736042446063055       0.5162502119781843        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7413.194036253251    All      0.5708964664314132         -0.2074262408020111       0.1671875307205112        -0.24606450017091674      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5272.244913123327    All      0.14282000277815865        0.7179602347319403        -0.11147902569986962      0.18236729818661224       
Check         All|All|All                                All                  All      0.9965997759226034         0.9980807244437173        -0.0022250180294393906    0.00038310131957025595    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6088.913977659125    All      -0.0003167043496846973     7.531377525900844e-05     -0.0008890111169931156    8.802071723636772e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4258.760566708394    All      -0.0005889440095680502     0.0002905363648778193     -0.0003197581858112344    0.00027220635276538455    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7413.194036253251    All      -0.00017183974685104744    0.00010285528822370067    -0.0005500406266427666    6.493142320022446e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5272.244913123327    All      -9.754127596416841e-05     0.0002910743754805922     -0.0013214101451460719    6.761643699014617e-05     
MWEBV         All|All|All                                All                  All      -0.830498782000626         -3.9679281823707058       0.005640134628885289      -1.0217122807576295       
Redshift      All|All|All                                All                  All      9.922385538557142          -2.118768578479635        12.852159345078318        -3.3486671943847064       
