#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6088.913977659125    All      0.6304115672478612        0.3638827966117475         -0.29982298104256344      -0.10019691173906997      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4258.760566708394    All      -0.39213115444645263      0.365648142890862          -0.0569224670173174       0.24429345907359679       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7413.194036253251    All      1.49945413835334          -0.7928000045932748        0.7221367545074298        -0.7144369405795103       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5272.244913123327    All      -0.7443245192378827       1.0653955213811628         -0.35839286210186394      0.5734919278537753        
Check         All|All|All                                All                  All      0.9934100319168655        1.0021264562904975         0.006998444345684973      0.003151534608791806      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6088.913977659125    All      9.736209594010266e-05     -1.7911310015159203e-05    -0.0009713198196640453    -8.089388314307363e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4258.760566708394    All      -0.0005222820597896762    0.0005156921704297891      0.00023311194323169282    0.00034850507050234765    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7413.194036253251    All      -8.23818397897822e-05     -3.14958104495619e-06      -0.0005449152814455571    1.4914870315259608e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5272.244913123327    All      -0.0008308387534737888    0.0011931614115014157      -0.0007728608107672435    0.0006247942129967727     
MWEBV         All|All|All                                All                  All      -0.6477699315408261       -4.077333877757994         0.12325429814186162       -1.1116215333458412       
Redshift      All|All|All                                All                  All      12.258003438830926        -7.535667386605915         9.256351080003977         -6.03438134445482         
