#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_i          5813.372744539089    All      1.0634443030485539         0.11219880130823867        -0.174583380769322         -0.31764280941554146      
Zeropoint     AB|DECam|DECam_z          6812.417858196436    All      0.7877055398110222         -0.021682355417773636      0.5399887905260137         -0.23954704590447295      
Zeropoint     AB|DECam|DECam_g          3600.371236368896    All      -0.44750702110819995       0.25881308148463233        0.10127187822901451        0.23459099345609358       
Zeropoint     AB|DECam|DECam_r          4785.160841652287    All      -0.41299902210704753       0.6518938830316401         -0.46158722768907534       0.3262721351613304        
Check         All|All|All               All                  All      0.9906437996443284         1.0012234104067375         0.005090060296630838       0.003673273297409574      
Lambda        AB|DECam|DECam_i          5813.372744539089    All      -0.00032830162093177873    -3.792538740427304e-05     5.6831896528642786e-05     9.712123887685008e-05     
Lambda        AB|DECam|DECam_z          6812.417858196436    All      -0.0005986310856348829     -1.3110067842861112e-05    -0.0007729132275133724     0.0001562318910823094     
Lambda        AB|DECam|DECam_g          3600.371236368896    All      -0.0007018964412950356     0.0003013217999294657      -0.00033985487403584213    0.00031161502393537165    
Lambda        AB|DECam|DECam_r          4785.160841652287    All      -0.0002484450497125725     -4.241882586018334e-05     -0.0012760869694429867     1.0163618579381096e-05    
MWEBV         All|All|All               All                  All      -0.4614583702322843        -2.7138621461089585        0.08492251055898237        -0.729892310074949        
Redshift      All|All|All               All                  All      6.9670982698119825         1.1969344609669363         10.628337339141147         -1.4052383040334557       
