#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_z          6920.527076613964     All      0.7317358994020948         -0.06211319680087257      0.3547183783535135        -0.24275331542949058       
Zeropoint     AB|DECam|DECam_i          5905.62768204644      All      1.11633551657243           0.049251143267170505      -0.21402158155214845      -0.35713528663775373       
Zeropoint     AB|DECam|DECam_g          3657.5070915790216    All      -0.47473697928170533       0.2977584235381414        0.16512400637065383       0.2589958930594874         
Zeropoint     AB|DECam|DECam_r          4861.098637800649     All      -0.3821081108101875        0.7164155329803634        -0.30100916372288733      0.344392634645119          
Check         All|All|All               All                   All      0.9912263258826322         1.0013119029848028        0.004811639449131544      0.0034999256373621224      
Lambda        AB|DECam|DECam_z          6920.527076613964     All      -0.000592592617233374      4.163785109083775e-06     -0.0007833620444846378    0.00015942534275181184     
Lambda        AB|DECam|DECam_i          5905.62768204644      All      -0.0001938479007854918     1.690158511743302e-06     7.184777844922686e-05     6.689941529145903e-05      
Lambda        AB|DECam|DECam_g          3657.5070915790216    All      -0.0009245613140511459     0.0004337626753464509     -0.0006233962690552344    0.0004146314985462638      
Lambda        AB|DECam|DECam_r          4861.098637800649     All      -0.00025597516356784484    -1.853516265057862e-05    -0.0018016499246501852    -3.0573416155730244e-06    
MWEBV         All|All|All               All                   All      -0.44513367373809976       -2.7960969654747814       0.08008757582040893       -0.7622121478336437        
Redshift      All|All|All               All                   All      7.16067167171806           0.0517820407878844        8.268706718853036         -1.9466048242499379        
