#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_i          5456.652234919352    All      0.5487893930584866         0.18296096107270898        -0.2236098764220729       -0.12914103747739467       
Zeropoint     AB|DECam|DECam_r          4491.533529409134    All      0.025611987650312085       0.41096657284089844        -0.3128811600944784       0.1115602170220335         
Zeropoint     AB|DECam|DECam_g          3379.445051399213    All      -0.5305028794857324        0.24066145998631328        0.035565346496365564      0.25278071398763774        
Zeropoint     AB|DECam|DECam_z          6394.393885382854    All      0.9502550194037214         0.16401236034084832        0.5051614542881789        -0.23356206508970445       
Check         All|All|All               All                  All      0.9941535206267876         0.998601354240769          0.004235764267993214      0.0016378284425721257      
Lambda        AB|DECam|DECam_i          5456.652234919352    All      5.4318323505656024e-05     1.8374297571847856e-05     -0.0006547666692178039    -4.0927380982621274e-05    
Lambda        AB|DECam|DECam_r          4491.533529409134    All      -0.00019191807097550763    -0.00015794619079100643    -0.001283410527133913     -4.620695831688759e-05     
Lambda        AB|DECam|DECam_g          3379.445051399213    All      -0.0008545770893052389     0.00028779484632399864     -0.0009841832377880378    0.0003281885446424353      
Lambda        AB|DECam|DECam_z          6394.393885382854    All      -0.00024649160110050926    -6.0838292853960425e-05    -0.0004969386712570328    3.829729976688449e-05      
MWEBV         All|All|All               All                  All      -0.505384071109356         -2.4355178766388264        0.1330122906225247        -0.6227723523498973        
Redshift      All|All|All               All                  All      3.708061063690745          0.9991457816948213         -0.6553240107357368       -0.911626928816521         
