#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6055.203501748336    All      1.2511543155749496         -0.09705253059744123       -0.35370912775061214      -0.45493973833036633       
Zeropoint     AB|PS|PS_z                8428.74270804661     All      0.2644214029773745         -0.04798741260803041       0.07507931689447744       -0.09841138409474315       
Zeropoint     AB|PS|PS_i                7334.162856616274    All      0.5953863216046311         -0.09123118935594476       0.19898689031436767       -0.21477404136400896       
Zeropoint     AB|PS|PS_g                4768.131646249232    All      -1.112046233190032         1.236069628937564          0.0792242715720981        0.7683940023885907         
Check         All|All|All               All                  All      0.9989158069669231         0.9997984963761475         -0.0004186489696689222    0.0002688385994722431      
Lambda        AB|PS|PS_r                6055.203501748336    All      -0.0003523114229760456     -2.2025609061777812e-05    -0.0009325629853163016    6.596895274460404e-05      
Lambda        AB|PS|PS_z                8428.74270804661     All      0.0003002257104911445      -5.39947633700233e-05      0.00025999243723397544    -0.00010377899347234957    
Lambda        AB|PS|PS_i                7334.162856616274    All      -0.00025511977392440286    -1.813073061304263e-05     -0.0009346632292824259    3.548540094451722e-05      
Lambda        AB|PS|PS_g                4768.131646249232    All      -0.00026401983054641945    -0.00012375433534673883    -0.0011618514489461472    -6.159007591511903e-06     
MWEBV         All|All|All               All                  All      -0.7092763994683824        -4.0204493430889165        0.03588991758392002       -1.076956359906038         
Redshift      All|All|All               All                  All      5.837751677432578          1.7605372958039212         7.40045167183605          -0.9978346913964555        
