#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6055.203501748336    All      1.2082546749894818         -0.03245751249050244       -0.19090548052959616      -0.4126600124796544        
Zeropoint     AB|PS|PS_z                8428.74270804661     All      0.3222338829882042         -0.07778896953780645       0.05153107628977523       -0.12800100816752819       
Zeropoint     AB|PS|PS_i                7334.162856616274    All      0.6061663474862904         -0.11867464915624737       0.17895939761381024       -0.2281184231822299        
Zeropoint     AB|PS|PS_g                4768.131646249232    All      -1.1371939397917916        1.227953952367855          -0.039620501887309256     0.7686383985019822         
Check         All|All|All               All                  All      0.9994609656721847         0.9990328211832988         -3.550851331995952e-05    -0.00014104532743020037    
Lambda        AB|PS|PS_r                6055.203501748336    All      -0.00020535568773519442    -4.8035439177868704e-05    -0.0007876955016572837    1.6093148153184968e-05     
Lambda        AB|PS|PS_z                8428.74270804661     All      0.0003081210838651043      -7.948243786272496e-05     8.916315125202805e-05     -0.00012227627687501675    
Lambda        AB|PS|PS_i                7334.162856616274    All      -0.0001580207948776322     -2.1464438318955594e-05    -0.0006677160204822159    1.4683798616486332e-05     
Lambda        AB|PS|PS_g                4768.131646249232    All      -0.0003759280530432936     5.994647919910338e-05      -0.0007383411504315011    0.00010902990053201345     
MWEBV         All|All|All               All                  All      -0.6999540686531049        -4.032731845904003         0.02290087294803959       -1.084573406402937         
Redshift      All|All|All               All                  All      5.886405835315131          1.305729824422741          6.28742582575465          -1.2114979390110756        
