#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4974.938818534214     All      0.8930016031314849         0.4007330261632802         0.4350440489272543         -0.14093405285510452      
Zeropoint     AB|SDSS|SDSS_i            6032.982848221642     All      1.1194079933540388         0.1058101088352359         -0.3672775831117393        -0.3465520890570395       
Zeropoint     AB|SDSS|SDSS_z            7172.713705213838     All      0.09107008159669744        0.009692907693548136       0.19338522298225982        -0.017877328454260488     
Zeropoint     AB|SDSS|SDSS_g            3807.2509341171626    All      -1.1059315561953718        0.48257483604032814        -0.2603895527031101        0.5058088024480045        
Check         All|All|All               All                   All      0.9975481218868494         0.9988108787323924         0.0007621360946647449      0.000445332081600025      
Lambda        AB|SDSS|SDSS_r            4974.938818534214     All      -0.0003931441916656642     -0.00014994661438780244    -0.001974238820651546      -8.883759332703606e-06    
Lambda        AB|SDSS|SDSS_i            6032.982848221642     All      -0.0002800809058849327     -3.5444684341360484e-05    -0.00027050656485031675    6.761460005181721e-05     
Lambda        AB|SDSS|SDSS_z            7172.713705213838     All      -2.7993348749371146e-05    -2.4076649896526188e-06    -5.70337388976206e-05      5.788945124021011e-06     
Lambda        AB|SDSS|SDSS_g            3807.2509341171626    All      -0.0012323395353852273     0.00040310379485834476     -0.0014001649857609628     0.00047023476455841054    
MWEBV         All|All|All               All                   All      -0.5813342087297024        -3.055672099421969         0.07493079951501821        -0.8026294368595144       
Redshift      All|All|All               All                   All      5.39965763867586           1.2739502208612308         10.007650739702683         -0.8972831486890431       
