#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|TONRY|TONRY_R    4520.781854303605    All      -1.0066337939866785       0.9833744118081356         1.3622204087005096         0.7090007823409721         
Zeropoint     VEGAHST|TONRY|TONRY_J            8620.722354037245    All      0.8008081673675667        -0.0839712108792412        0.8968156891516754         -0.24818098659056298       
Zeropoint     VEGAHST|TONRY|TONRY_Z            6300.229708894719    All      0.4942482284008959        -0.028069671614439073      0.47108823222228313        -0.1491136196094079        
Zeropoint     Linear_AB11_off|TONRY|TONRY_I    5493.64631411969     All      0.7134849555724811        0.12928504007341246        -2.6966202026113217        -0.31063090659831266       
Check         All|All|All                      All                  All      1.001907557354265         1.0006185693878678         0.03350412746314646        0.0010752695426885506      
Lambda        Linear_AB11_off|TONRY|TONRY_R    4520.781854303605    All      -0.000261188955433867     -0.00012695257673326493    -0.0021195058714878635     -5.085860771766622e-05     
Lambda        VEGAHST|TONRY|TONRY_J            8620.722354037245    All      0.0005023737073861278     -4.988795498204711e-05     0.000627222270326911       -0.00015189974310533816    
Lambda        VEGAHST|TONRY|TONRY_Z            6300.229708894719    All      -0.0001523727225339557    -1.0480958122925208e-05    -0.000457656133894244      2.5795724451960602e-05     
Lambda        Linear_AB11_off|TONRY|TONRY_I    5493.64631411969     All      8.670073629423651e-05     -2.4392272636071013e-05    -0.00044374248348103213    -5.5988836862283044e-05    
MWEBV         All|All|All                      All                  All      -0.1640270246474813       -2.520097350898176         0.02147423169227558        -0.7664913213383886        
Redshift      All|All|All                      All                  All      2.5766859707814036        0.339200391596961          0.23487554761656426        -0.7183412472837047        
