#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|TONRY|TONRY_R    4520.781854303605    All      -1.0378214463344073        0.9616142915133352         1.1284024612965173        0.7016374185815524         
Zeropoint     VEGAHST|TONRY|TONRY_J            8620.722354037245    All      0.7102380066624623         -0.0769338087547311        0.901211594496638         -0.21619082311763976       
Zeropoint     VEGAHST|TONRY|TONRY_Z            6300.229708894719    All      0.6115676142095227         -0.026102458783938687      0.8406087847360775        -0.17019761220997354       
Zeropoint     Linear_AB11_off|TONRY|TONRY_I    5493.64631411969     All      0.7188211644383438         0.14036208658207983        -2.8486452893797307       -0.3155451083066082        
Check         All|All|All                      All                  All      1.0028053389759213         0.9989401105567453         0.021577551149502217      -0.00029612505266912725    
Lambda        Linear_AB11_off|TONRY|TONRY_R    4520.781854303605    All      -0.0002992139158790585     -0.00011572080802980154    -0.002226472904624252     -3.958751794275751e-05     
Lambda        VEGAHST|TONRY|TONRY_J            8620.722354037245    All      0.0005095096654107181      -4.7211482280191666e-05    0.0007571383452959681     -0.00014755478644474338    
Lambda        VEGAHST|TONRY|TONRY_Z            6300.229708894719    All      -0.00016740893349918872    6.460900300274017e-06      -0.0002477393433583049    4.557965594767915e-05      
Lambda        Linear_AB11_off|TONRY|TONRY_I    5493.64631411969     All      6.540011242337304e-05      -1.882481489327685e-05     -0.000551965077080892     -5.20664960510528e-05      
MWEBV         All|All|All                      All                  All      -0.15798518712626564       -2.520782657666132         0.036786554280465816      -0.7679992549196881        
Redshift      All|All|All                      All                  All      2.650295361083395          0.23447358918282646        0.8637948415915598        -0.7483654327695521        
