#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                            7449.628485321844    All      0.4299845044153747         -0.09219308840853202      0.3724235739281818         -0.15347086749047095       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.349556145691    All      -0.0962810253933006        0.042399515091506856      -0.19474565587666653       0.03648221030283523        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5422.499329019672    All      0.08491343559083367        0.2519982538150778        -0.4709930951501854        0.03340676357937092        
Zeropoint     AB|PS|PS_g                            4843.198880103799    All      -1.061254511689132         1.086429516016718         0.44768781726593415        0.7195495956583985         
Zeropoint     AB|CNIa02|SDSS_i                      7414.3066121963      All      0.07165699490838275        -0.019502507574475914     -0.0003198578148284038     -0.029707922802439793      
Zeropoint     AB|PS|PS_r                            6150.533792735644    All      1.15202411539261           -0.15375612292860552      -0.08290164620768493       -0.4290351022318138        
Zeropoint     AB|CNIa02|SDSS_r                      6114.010715015239    All      0.11788668585749344        -0.0205465332267174       -0.0884739552522054        -0.04904044005008566       
Zeropoint     AB|PS|PS_z                            8561.440889830796    All      0.2997743271386646         -0.09708738814895312      0.020272364025244717       -0.1283662545329509        
Check         All|All|All                           All                  All      0.9987045262209266         0.9977416446360188        0.002949544917790016       -0.00018201756715655049    
Lambda        AB|PS|PS_i                            7449.628485321844    All      -3.188768141652929e-05     8.597535797284708e-06     -6.800371850004719e-06     1.2883897807935945e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.349556145691    All      -3.2695916841883865e-05    1.1687092560932657e-05    -8.102858243932581e-05     1.0841072836686933e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5422.499329019672    All      -1.2909783275723966e-05    3.7694667033005007e-06    -0.0003455710858609344     -9.98826996219008e-06      
Lambda        AB|PS|PS_g                            4843.198880103799    All      -0.00010084743586974404    -0.0001681278185955933    -0.0017319280191627653     -9.920342715021112e-05     
Lambda        AB|CNIa02|SDSS_i                      7414.3066121963      All      -1.415535755125709e-05     4.820597637842235e-06     1.2247313858138253e-05     6.727634263082823e-06      
Lambda        AB|PS|PS_r                            6150.533792735644    All      -0.0002613561605415601     2.7219334015461853e-05    -0.00012346693984569446    8.848876996682795e-05      
Lambda        AB|CNIa02|SDSS_r                      6114.010715015239    All      6.499485808062552e-06      -7.589183934927258e-07    2.7836718226171548e-06     -2.2400785543507257e-06    
Lambda        AB|PS|PS_z                            8561.440889830796    All      0.00024643765874042176     -7.505148577207336e-05    7.994044501128955e-05      -0.00010115221613874543    
MWEBV         All|All|All                           All                  All      -0.740410514135244         -4.114161662298077        0.06195603647989494        -1.0961769287182697        
Redshift      All|All|All                           All                  All      3.7715220629173327         1.2229811684862923        2.2204635063325675         -0.7310545257535761        
