#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                            7449.628485321844    All      0.4784569739849609         -0.10301633846170333      0.43039549034123853        -0.17019841376870182      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.349556145691    All      -0.08033780779216776       0.03794659333182793       -0.11444024866130026       0.033422178194592034      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5422.499329019672    All      0.03456823531275907        0.1951890654635413        -0.2776022206274112        0.03993137652274492       
Zeropoint     AB|PS|PS_g                            4843.198880103799    All      -1.2772170134979028        1.2657514236710021        0.3546640556787259         0.8441555090543618        
Zeropoint     AB|CNIa02|SDSS_i                      7414.3066121963      All      0.03477909326633646        -0.0046735926617635926    5.0409285645702795e-05     -0.012848788226699215     
Zeropoint     AB|PS|PS_r                            6150.533792735644    All      1.2308933320601056         -0.1912241101511114       -0.34003115958774616       -0.4784044661481232       
Zeropoint     AB|CNIa02|SDSS_r                      6114.010715015239    All      0.06032528250749212        -0.0038114686240042772    -0.07288805468633891       -0.024144108997890823     
Zeropoint     AB|PS|PS_z                            8561.440889830796    All      0.3394450126954044         -0.10929706472815326      0.027941415704361983       -0.1449231607400847       
Check         All|All|All                           All                  All      0.8209131085369878         1.0868645078396355        0.008089687447175586       0.08699012589019894       
Lambda        AB|PS|PS_i                            7449.628485321844    All      -5.204895419450984e-05     1.5420271045410293e-05    -4.372037800550553e-05     2.0025906662269014e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.349556145691    All      -4.206658351989802e-05     1.8929319818061077e-05    -5.5437729167866886e-05    1.7394441186306624e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5422.499329019672    All      0.00012931713271163828     -4.787637163396387e-05    -0.0003543590915088745     -7.353117260010357e-05    
Lambda        AB|PS|PS_g                            4843.198880103799    All      -0.0003690558049434349     3.004490386762578e-05     -0.0017057404015890958     5.388087094246077e-05     
Lambda        AB|CNIa02|SDSS_i                      7414.3066121963      All      -2.4984343855649707e-05    1.1928579769022884e-05    2.5016461652925237e-05     1.3140123410789364e-05    
Lambda        AB|PS|PS_r                            6150.533792735644    All      -0.00024980265359404513    4.282995186220696e-05     -0.00013563294597945303    8.926739148438665e-05     
Lambda        AB|CNIa02|SDSS_r                      6114.010715015239    All      -3.663766909187653e-06     6.359641990057743e-06     3.969408519320965e-06      3.4420905102255277e-06    
Lambda        AB|PS|PS_z                            8561.440889830796    All      0.0002026844183485095      -6.76218944191156e-05     -7.914148961607481e-06     -8.840083100174767e-05    
MWEBV         All|All|All                           All                  All      -0.768975743431108         -4.105733613635465        0.04140441333365524        -1.0850441255953247       
Redshift      All|All|All                           All                  All      3.5256762385475984         0.6566056108348484        1.640272367349642          -0.8613528708097229       
