#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5831.686914325215    All      1.0151293967525366         0.0809846330357189        -0.9533116492208005       -0.346823602495136        
Zeropoint     AB|SDSS|SDSS_g            3680.218560307735    All      -1.042013410596502         0.390833170174254         -0.09268554646321148      0.4625891403600313        
Zeropoint     AB|SDSS|SDSS_z            6933.389619568821    All      0.15369930929483389        0.025137751320336577      0.2606821730230968        -0.030243680869815326     
Zeropoint     AB|SDSS|SDSS_r            4808.945481448957    All      0.8708885280504199         0.5019148272861429        0.7867049721386299        -0.08507984351181913      
Check         All|All|All               All                  All      0.9977038235012886         0.9988703818164524        0.001389949477714758      0.0004420134832608391     
Lambda        AB|SDSS|SDSS_i            5831.686914325215    All      -0.00032299384395404217    -3.10550369570286e-05     0.00025009341324965873    0.00010625459433622699    
Lambda        AB|SDSS|SDSS_g            3680.218560307735    All      -0.0017396448150660741     0.0004740781854940041     -0.0016643255825916914    0.0006468112038257383     
Lambda        AB|SDSS|SDSS_z            6933.389619568821    All      -4.9816384007048184e-05    -2.695373810142024e-06    4.898199506691074e-06     1.5567447403688223e-05    
Lambda        AB|SDSS|SDSS_r            4808.945481448957    All      -0.0001984182574457402     -8.768411936605218e-05    -0.0009453270163448498    -6.115851192037924e-06    
MWEBV         All|All|All               All                  All      -0.5833556300364067        -2.904655576346471        0.025247245573045696      -0.75499709239953         
Redshift      All|All|All               All                  All      4.624875627806244          -0.4549251734440318       0.09280708148364791       -1.650516687650494        
