#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5831.686914325215    All      1.1742011017790424         0.08682241591486672        -0.7220936233659245       -0.38641873363690793       
Zeropoint     AB|SDSS|SDSS_g            3680.218560307735    All      -1.0722509207908293        0.3760691753521783         -0.4563757621996362       0.45139954942073535        
Zeropoint     AB|SDSS|SDSS_z            6933.389619568821    All      0.15386850256416326        0.012150296380220027       0.12404686010575983       -0.04062664050470819       
Zeropoint     AB|SDSS|SDSS_r            4808.945481448957    All      0.7411370517088848         0.5235485966144537         1.0552539398933223        -0.023784581540405816      
Check         All|All|All               All                  All      0.996955735261261          0.9985904842617188         0.0008314144335213047     0.0005695937387134101      
Lambda        AB|SDSS|SDSS_i            5831.686914325215    All      -0.00020505771763753387    7.015167866798946e-06      0.0005371719033312548     9.305063070381587e-05      
Lambda        AB|SDSS|SDSS_g            3680.218560307735    All      -0.0018945476240736878     0.0005956033963366904      -0.0014373388131983297    0.0007469822811082108      
Lambda        AB|SDSS|SDSS_z            6933.389619568821    All      -7.538211829062461e-05     -8.371947404402066e-06     -9.682467046737119e-05    1.750657688345039e-05      
Lambda        AB|SDSS|SDSS_r            4808.945481448957    All      -0.00012235516055770392    -5.0914586606580884e-05    -0.0009566559327683318    -1.9420615256722614e-05    
MWEBV         All|All|All               All                  All      -0.5537040974986738        -2.913465375561408         0.028052908417195283      -0.7674000096448139        
Redshift      All|All|All               All                  All      4.659875815991425          -0.9309170192118188        -0.31759840348411905      -1.8352781161174492        
