#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5472.077723492841    All      0.44772707719187943        0.08254413943921124        0.16123414845681805        -0.11175695746387104       
Zeropoint     AB|CNIa02|SDSS_g                      4712.430922025703    All      -0.03167338822279932       0.06467109942929206        0.17501370137485983        0.039192626951285725       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7520.574711539163    All      0.15374606939519508        -0.03429235652517848       0.11217759650542503        -0.05624433068375581       
Zeropoint     AB|CNIa02|SDSS_i                      7467.334152116454    All      0.18726680942209084        -0.04166216483201257       0.10989062032432662        -0.06966578477839436       
Zeropoint     AB|CNIa02|SDSS_r                      6157.738465190744    All      0.49970653587320035        -0.08045479388687493       -0.12445447007933264       -0.19453146324460713       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4366.537894257284    All      -0.4059817321032841        0.28975232918844185        -0.015532421838776456      0.22593033208462981        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4701.451007000525    All      -0.3128587393443416        0.3749427844540465         0.15607239332326994        0.23100437839859156        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4365.349069132966    All      -0.3603441090842214        0.25431116258129993        0.01044589344801894        0.20067959578758954        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5461.281350680821    All      0.26432870107970874        0.02783293898485084        -0.9614726263286744        -0.11994055762276426       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6197.544829874269    All      0.5550199494419441         -0.06347083722615388       0.23064475142503538        -0.19117018101722089       
Check         All|All|All                           All                  All      0.9969371736493723         0.8741743016069226         -0.14598041338902967       -0.04650234158851688       
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5472.077723492841    All      0.00010862937652990424     -4.506642557619351e-06     5.001298622238863e-05      -3.4620273607510215e-05    
Lambda        AB|CNIa02|SDSS_g                      4712.430922025703    All      2.2733192908514467e-05     -6.267661931595818e-06     -1.852614009104158e-05     -1.0273269065987943e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7520.574711539163    All      3.389587620649992e-06      -5.738420201393987e-05     -0.00011757854585531028    -2.5043013165070807e-05    
Lambda        AB|CNIa02|SDSS_i                      7467.334152116454    All      4.1174514654067446e-05     -6.564936842594722e-05     -0.00014963739449896       -4.147368277731993e-05     
Lambda        AB|CNIa02|SDSS_r                      6157.738465190744    All      0.00041756102714427977     -0.00012165976000173591    6.58206970385734e-05       -0.00017270467480512414    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4366.537894257284    All      -0.0003337610006981422     0.00012705957344111757     -0.00044278651963098703    0.00013034489281752917     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4701.451007000525    All      -0.0002714322732160826     0.00016769378964997763     -0.0002923441139773151     0.00012999183037497333     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4365.349069132966    All      -0.00019397910115104944    0.00014137366808418983     -0.00011894952571779677    0.000103927258700945       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5461.281350680821    All      7.9702722408301e-05        -4.8299945813202124e-05    -0.001040187767583615      -8.811348286008417e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6197.544829874269    All      0.00019374693228199107     -5.1735074095915234e-05    6.173264743976472e-05      -7.720672106796695e-05     
MWEBV         All|All|All                           All                  All      -0.8720524441267998        -4.173353824703607         -0.06467055278500666       -1.0782284189929492        
Redshift      All|All|All                           All                  All      3.1372041617490036         -1.9793970441271291        1.6103261322630402         -1.5947838846111062        
