#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5472.077723492841    All      0.4312029633613259         0.07427614303709973        0.11113602920040543        -0.11130331736930639       
Zeropoint     AB|CNIa02|SDSS_g                      4712.430922025703    All      -0.24730193687064833       0.2639299839752418         0.1253952327099669         0.1721208689665002         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7520.574711539163    All      0.17478142504806013        -0.026787641156422737      0.08302979445380484        -0.061952437903684564      
Zeropoint     AB|CNIa02|SDSS_i                      7467.334152116454    All      0.20451524773063143        -0.03619190144048545       0.03987862097150275        -0.07662663781694495       
Zeropoint     AB|CNIa02|SDSS_r                      6157.738465190744    All      0.6002746099571592         -0.06788856911166263       -0.030309637579909093      -0.21899530925643954       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4366.537894257284    All      -0.3845632106632254        0.2367981316243828         -0.06554942206832794       0.19947266171473854        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4701.451007000525    All      -0.33699996770908125       0.31991922496552583        0.039126012075127156       0.21572620727325717        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4365.349069132966    All      -0.3887632130137351        0.22135754473842084        -0.1710111451620764        0.19110496119379528        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5461.281350680821    All      0.3791358497154834         0.06010034180281565        -0.2778821159555272        -0.11632096345230457       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6197.544829874269    All      0.5651611318369703         -0.04923680454602675       0.14676823051388657        -0.19358002892592654       
Check         All|All|All                           All                  All      0.9974428993929402         0.9962764538888891         0.00058159915885303        -0.0003539955763153524     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5472.077723492841    All      6.829124306433025e-05      1.0165139188459222e-05     5.9227747067996306e-05     -1.6290521995946425e-05    
Lambda        AB|CNIa02|SDSS_g                      4712.430922025703    All      -8.378860413486903e-05     2.057255266652254e-05      -0.00034195730646367637    1.8733878115917885e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7520.574711539163    All      -3.678013184522705e-05     5.972649233661799e-06      -1.5505272791292188e-05    1.3234058210580398e-05     
Lambda        AB|CNIa02|SDSS_i                      7467.334152116454    All      -2.9293495245813965e-05    -5.737147037963511e-06     -0.0001727360704792948     -3.533988528108642e-08     
Lambda        AB|CNIa02|SDSS_r                      6157.738465190744    All      -5.405302734411714e-05     -1.8657909176097e-05       -0.0004201080887288711     -7.218140061184103e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4366.537894257284    All      -0.00011993743220634455    4.550525834561889e-05      -0.00020038752164673048    4.494775247112748e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4701.451007000525    All      -4.310991905042677e-05     -1.2323477216344588e-05    -0.00030896563244599636    -3.759560199029097e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4365.349069132966    All      -0.0001741086150034536     3.7259688480774877e-05     -0.0005509914574944605     4.4261392119702724e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5461.281350680821    All      -6.632247860021475e-06     -2.9092738957818447e-05    -0.000983955364487398      -5.122552965230311e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6197.544829874269    All      -9.664105441826233e-05     8.897743635439842e-06      -6.880831021700979e-05     3.130685978956738e-05      
MWEBV         All|All|All                           All                  All      -0.9069846226393898        -4.091521507219742         0.019102479797533992       -1.0364559755205507        
Redshift      All|All|All                           All                  All      4.501903995861252          0.7206830149693477         4.802455775333986          -1.0173565275801786        
