#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_i          5259.291738813763    All      0.5612828494691439        0.2208754037278382        -0.20990190898078076      -0.12024886230347642       
Zeropoint     AB|DECam|DECam_r          4329.080206845107    All      -0.4479202411314941       0.6903108562225313        1.035487231644372         0.4169683544264835         
Zeropoint     AB|DECam|DECam_z          6163.116410626877    All      1.160127156803043         0.011818581578459941      -0.5335096901324166       -0.3978499683298775        
Zeropoint     AB|DECam|DECam_g          3257.214620873053    All      -0.28665396924587955      0.0776291178285149        -0.2992336522698924       0.10530556244736783        
Check         All|All|All               All                  All      0.986835795894813         1.0006339593573443        -0.007158019738717769     0.004175086240497394       
Lambda        AB|DECam|DECam_i          5259.291738813763    All      0.00028279385111466685    5.8625637851614445e-05    -0.0009444486726874533    -0.00011516536854111844    
Lambda        AB|DECam|DECam_r          4329.080206845107    All      -0.0003414062837341554    8.07588018660408e-05      -0.0010010099427254795    9.284258092729821e-05      
Lambda        AB|DECam|DECam_z          6163.116410626877    All      -0.0002702112491465369    -6.250954204428367e-05    -0.0012186334677514576    1.3273264501727539e-05     
Lambda        AB|DECam|DECam_g          3257.214620873053    All      -0.0011323453827682128    0.0002949547627542021     -0.0013671454582323565    0.00040390919144774664     
MWEBV         All|All|All               All                  All      -0.3913239692364354       -2.360749915475857        -0.09352866932910153      -0.6456805778298075        
Redshift      All|All|All               All                  All      3.621769803936009         -0.3321175006247401       1.0344016610530082        -1.2417505788262173        
