#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_i          5259.291738813763    All      0.7121195104109384         0.23446400151012625       -0.036760050543745294     -0.15722854587143492       
Zeropoint     AB|DECam|DECam_r          4329.080206845107    All      -0.29156250211599966       0.6058619032463852        0.7606002425028343        0.32626274872484473        
Zeropoint     AB|DECam|DECam_z          6163.116410626877    All      1.0111845469237846         0.04994261494584151       -0.3495679335628345       -0.32870773253291574       
Zeropoint     AB|DECam|DECam_g          3257.214620873053    All      -0.44434477526747157       0.1091979329716608        -0.3775776840284389       0.16345751320105417        
Check         All|All|All               All                  All      0.9873967799512515         0.9994664526740138        -0.003305425632184389     0.00378398352154824        
Lambda        AB|DECam|DECam_i          5259.291738813763    All      0.00018986273135225705     3.5769262155651655e-05    -0.0010552812136910283    -9.728566627761442e-05     
Lambda        AB|DECam|DECam_r          4329.080206845107    All      -0.0001252261695407147     -9.942042578317727e-06    -0.0008027293113023916    1.7297105257229038e-06     
Lambda        AB|DECam|DECam_z          6163.116410626877    All      -0.00016745673007318644    -5.071576363773289e-05    -0.0008607958793749686    -3.8699317228572324e-07    
Lambda        AB|DECam|DECam_g          3257.214620873053    All      -0.0011348151801376233     0.00026570764089125734    -0.001110042561426164     0.0004066602573659597      
MWEBV         All|All|All               All                  All      -0.44426802536715204       -2.3577974841192173       -0.1636979855630747       -0.6306045872228686        
Redshift      All|All|All               All                  All      3.528723315077029          -0.08596483082126127      -1.1805766316704571       -1.23010656170591          
