#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4316.149795427254    All      -0.8640020706629165       0.286762422108211          -0.7812269407093382        0.3399792840045434        
Zeropoint     AB|CNIa02|SDSS_i                      7383.174234780229    All      0.49820908486877713       -0.07508827056383893       0.11819920877203373        -0.18146712176900567      
Zeropoint     AB|CNIa02|SDSS_g                      4659.319893542004    All      -0.2772141985454628       0.7375336077192429         0.9230983790532643         0.3717303857312713        
Zeropoint     AB|CNIa02|SDSS_r                      6088.338228151444    All      1.231476142894242         -0.1332848620976712        -0.21225266069690865       -0.45401942003498036      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5399.730470854063    All      0.4129023194508684        0.18033694171801784        -0.05345927179637872       -0.07813983647197215      
Check         All|All|All                           All                  All      1.0013712780055082        0.9962598388839616         -0.005641285377327533      -0.0019167085401434747    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4316.149795427254    All      -0.0004993368343995579    0.00015203507409012985     -0.0005642051411349342     0.00018699537594599406    
Lambda        AB|CNIa02|SDSS_i                      7383.174234780229    All      -3.605709391007085e-05    -4.418529770084932e-05     -0.00038702769307386286    -1.991889177260511e-05    
Lambda        AB|CNIa02|SDSS_g                      4659.319893542004    All      -4.733470117772599e-05    -5.087515857692944e-05     -0.0002145450765756514     -1.072740485018492e-05    
Lambda        AB|CNIa02|SDSS_r                      6088.338228151444    All      3.221998113611254e-05     -3.5692881751597806e-05    -0.00030364592000396376    -3.567177652386104e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5399.730470854063    All      7.170709773196435e-05     -2.4761735513450068e-05    -0.0006596293723189095     -6.085930203684203e-05    
MWEBV         All|All|All                           All                  All      -0.8741217887201174       -4.042826395934096         -0.006510001472451042      -1.0324418493210765       
Redshift      All|All|All                           All                  All      5.698879649558474         0.866502192150076          4.8368956286851175         -1.3582158815239536       
