#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4316.149795427254    All      -0.8961802911600877       0.3096756033333037        -0.6814719559822713       0.362375972809062         
Zeropoint     AB|CNIa02|SDSS_i                      7383.174234780229    All      0.542381693768975         -0.0511206507598061       0.42237148264114843       -0.1744747398719687       
Zeropoint     AB|CNIa02|SDSS_g                      4659.319893542004    All      -0.17597207614797128      0.6795449481316496        0.8234479105798664        0.31541673877168164       
Zeropoint     AB|CNIa02|SDSS_r                      6088.338228151444    All      1.1361047783131266        -0.18424075894678538      -0.5254989161445955       -0.4535305826617986       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5399.730470854063    All      0.39481225738948733       0.24271895877632232       -0.04738229322209797      -0.05165624520670764      
Check         All|All|All                           All                  All      1.0011463621635301        0.9965781005346841        -0.008533772127949923     -0.0018688561597313136    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4316.149795427254    All      -0.0005595829320312236    0.0001752624656685563     -0.000572147152611556     0.00021383102208208363    
Lambda        AB|CNIa02|SDSS_i                      7383.174234780229    All      -9.477990961714057e-05    -4.145262143474747e-05    -0.0005479114149267609    -7.080317805398415e-06    
Lambda        AB|CNIa02|SDSS_g                      4659.319893542004    All      -5.526499870577355e-05    5.898689194945835e-05     -8.308951300816622e-05    3.3507696212740436e-05    
Lambda        AB|CNIa02|SDSS_r                      6088.338228151444    All      5.3409774962354274e-05    -7.53853837521698e-05     -0.000683197576980282     -7.244079047583802e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5399.730470854063    All      4.354582958050735e-06     -9.490706564080473e-06    -0.0010045102554376323    -4.933654544530517e-05    
MWEBV         All|All|All                           All                  All      -0.8686399431385867       -4.039749634431544        0.033243102600355456      -1.0314512658751496       
Redshift      All|All|All                           All                  All      6.21193837300428          0.349435924522723         8.60456536072276          -1.5256276853623907       
