#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_R               6787.994165994041     All      0.5406357285000665         -0.27720378898665743      1.1449499544423198         -0.2153033790645362        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8141.595745699648     All      0.12466341075247375        0.02649732921824466       0.03452784457092168        -0.030435103201307108      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5324.457058199676     All      0.22448748504371463        0.056578198056467244      -2.0517172813877735        -0.14625229789490957       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4348.784547931485     All      -0.4295623036823066        -0.04104835919926941      -2.180681143171443         0.029237989533729466       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_I               8224.172521233726     All      0.11737110714736189        -0.05821235643708178      0.22105206324750443        -0.04732877228649367       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_V               5346.9416836138735    All      0.35491535724722467        0.6152711188615712        2.030539482431731          0.1754200881783367         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3621.6246354432737    All      -0.2595433327474719        0.11967771304375319       -0.44836062192108256       0.10351649530554942        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_B               4364.818969916944     All      -0.32382946400057366       0.5538419644682158        2.8727797543003            0.4140854250188699         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6279.804043442331     All      0.6501265993026846         0.0028747681796836844     -1.598009339688059         -0.28214303278835995       
Check         All|All|All                                  All                   All      0.9992645875631739         0.9982765872049271        0.025080712824418594       0.0007974128008790271      
Lambda        Linear_AB11_off|LOSS|LOSS_K1_R               6787.994165994041     All      -0.0001595740581658296     8.839482379749781e-05     -0.0003510648118139266     6.510521262046237e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8141.595745699648     All      3.318642564336326e-06      3.0587904056039693e-06    -6.602339588891539e-07     -1.1410560622155403e-07    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5324.457058199676     All      3.752123162953445e-05      4.743001331299238e-05     -0.0023526315531232555     -0.00010175952478645869    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4348.784547931485     All      -0.00036804459119454936    -1.976628417890018e-05    -0.00263534745352405       -4.157750526757562e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_I               8224.172521233726     All      -9.641187429299433e-06     7.836566719158253e-06     -2.4119022611981566e-05    4.61675832267629e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_K1_V               5346.9416836138735    All      8.919607835490269e-05      0.00015698823152500365    0.0004933529104205226      4.409820908720279e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3621.6246354432737    All      -0.0006860413290271116     0.00030022151469595354    -0.0012946161181614452     0.00026348548388760494     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_B               4364.818969916944     All      -0.00010952847000961865    4.5483266810273864e-05    0.0004297006373123587      6.966798831651e-05         
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6279.804043442331     All      -0.00016192256146790976    8.027634582783583e-05     -0.00010179007296050878    7.434972876226577e-05      
MWEBV         All|All|All                                  All                   All      -0.9473451255786838        -3.9869744264271922       -0.06405981390401574       -0.9929659593984882        
Redshift      All|All|All                                  All                   All      6.932867074988301          -2.1746345732151617       11.50420117569453          -2.4532332531378866        
