#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_R               6787.994165994041     All      0.5399698072106989         -0.2441957733607225        1.241564196800801          -0.20002322006830997       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8141.595745699648     All      0.12179318648362655        0.022271550599572976       0.023001307001790927       -0.03139102828169649       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5324.457058199676     All      0.2241495584039528         0.07306205299117963        -2.0928123750929783        -0.14260677550505252       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4348.784547931485     All      -0.454309216242469         -0.015270300004210924      -2.7662458507172887        0.01956457156025715        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_I               8224.172521233726     All      0.10828334055303385        -0.04915759032426692       0.19609552467959313        -0.042532848207230134      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_V               5346.9416836138735    All      0.32774614657595635        0.570789093041757          2.472714668075909          0.18951298240788284        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3621.6246354432737    All      -0.22640664742992972       0.11041388883237246        -0.4987588295969736        0.08745621387866997        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_B               4364.818969916944     All      -0.26395956990610636       0.5354033672323233         3.415188422351084          0.4127829807819311         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6279.804043442331     All      0.6274237148393359         -0.008091794239017958      -1.8905262559429648        -0.29137381307574595       
Check         All|All|All                                  All                   All      1.004690320488099          0.995224494768987          0.10022080755897322        0.0013890634907059995      
Lambda        Linear_AB11_off|LOSS|LOSS_K1_R               6787.994165994041     All      -0.00013308192841360924    7.045617471099214e-05      -0.00032161663092501443    5.194678328595258e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8141.595745699648     All      5.435868089960875e-06      3.162613134349218e-06      -3.3312793876640704e-05    -2.227070917495581e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5324.457058199676     All      5.582172469243205e-05      3.346665428002043e-05      -0.0028258502252303678     -0.00013338649878468146    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4348.784547931485     All      -0.00047639002129286524    -1.2095721271701142e-05    -0.0038082227076303987     -1.8707560561628876e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K1_I               8224.172521233726     All      -6.214208503781364e-06     5.229912762218137e-06      -1.4721641822081685e-05    3.0707675362782773e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_V               5346.9416836138735    All      8.794054853291847e-05      0.00023071118402116005     0.0009367558744334043      8.830820530476155e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3621.6246354432737    All      -0.0007998867994586686     0.00034729468692295184     -0.0023664164786746642     0.0002680724523788897      
Lambda        Linear_AB11_off|LOSS|LOSS_K1_B               4364.818969916944     All      -0.0001447620212720934     0.00015393211399227863     0.0011038134627393574      0.00014655263181096549     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6279.804043442331     All      -0.00011182624070329311    7.581198196918454e-05      -0.0001654409127370907     5.3737074145764246e-05     
MWEBV         All|All|All                                  All                   All      -0.9461680653451832        -3.978541356492915         -0.09773340384554019       -0.9921051359852023        
Redshift      All|All|All                                  All                   All      7.194128985004051          -2.789795401977191         17.320467462506475         -2.479159721373894         
