#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i     7475.1991679327175    All      0.25527885588193333        -0.04075600639463772       0.1449711736669801         -0.08995889624892339       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V     5439.061828978924     All      0.4304969139055197         0.1421881807086578         0.10823849485250836        -0.0890814525739636        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6311.055911674203     All      0.23406002655825994        -0.019680613963135585      0.10441339138185235        -0.07799218433292565       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6313.379085423227     All      0.21958348823989893        -0.04101625453589719       -0.18915650334592193       -0.09332709567888842       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5295.403719902342     All      0.06873027560763456        0.042263035371803426       0.07081147333282134        -0.005461260061639939      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4415.999659866623     All      -0.04373707366651562       0.01909430053395056        -0.06814612332157188       0.017425197167886264       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5340.7432444072965    All      0.0727897083306083         0.04445895516624887        -0.2718192047843293        -0.021358301048798878      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g     4673.084704774394     All      -0.4707657749480489        0.4520883189226055         -0.09774191855559389       0.2962421664588072         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B     4340.192297247781     All      -0.4689236558115866        0.3213505233206959         -0.09151462875879868       0.2533344218216049         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r     6160.151814517427     All      0.7610605331652328         -0.056291657755114244      0.2654631301659216         -0.25439209839987487       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7822.420142844614     All      0.11507394893428222        -0.024981779680821603      0.004972181516543772       -0.045398872881868835      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4290.170020987254     All      -0.24883220787361435       0.17214663958871057        0.0030608798675002546      0.13726325342155454        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8155.040802153553     All      0.0720458682657254         -0.014763959133645699      0.017762402186594084       -0.027484162312640947      
Check         All|All|All                       All                   All      0.9968609065893298         0.9960996821494206         0.0013147482045061665      -0.00018928466967160773    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i     7475.1991679327175    All      -2.1918131946011252e-05    -1.7875613004444634e-05    -0.00022677758120528483    -8.803260483243453e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V     5439.061828978924     All      0.0001423010090662493      4.205106158744332e-05      -0.0004977033484980126     -5.486492059382207e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6311.055911674203     All      -5.456543483318557e-06     -3.1071723514420058e-06    -2.5964277563617097e-05    -3.933989883840365e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6313.379085423227     All      3.5088030165940174e-05     -1.208809099476827e-05     -6.535108694133517e-05     -1.828313357383432e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5295.403719902342     All      6.091184659437433e-05      2.6339975004920696e-05     2.0533921430592706e-05     -1.034486135291936e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4415.999659866623     All      -5.678994678170319e-05     2.7137848249967128e-05     -8.880366787686313e-05     2.3375144147407192e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5340.7432444072965    All      6.185136555960701e-05      3.3217226340823224e-05     -0.00039268615296577714    -2.685086064335351e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g     4673.084704774394     All      -0.00031340400000803956    0.0001326123628527945      -0.0007403047270852662     0.00011224580301307903     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B     4340.192297247781     All      -0.0004352842024009205     0.00021507376910524345     -0.00043642125675721736    0.0001923675111825489      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r     6160.151814517427     All      1.0418289423631052e-05     -1.5882516926206777e-05    -0.00029834449885160643    -2.1880782635996064e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7822.420142844614     All      5.5532764146566725e-06     5.368981190251617e-07      1.9595659645714033e-05     -7.595351544523416e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4290.170020987254     All      -0.00020701003460572105    0.00013605256786784845     -7.34992162623631e-05      0.0001084668435979237      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8155.040802153553     All      4.962720771029593e-06      -1.8138085558121683e-06    -4.656694481118408e-06     -2.4151454302133496e-06    
MWEBV         All|All|All                       All                   All      -0.845203426611874         -4.074707436032732         0.010370260400871523       -1.0514929263016086        
Redshift      All|All|All                       All                   All      4.683513055917292          -0.24130596466367393       3.338432174700401          -1.4551966816439776        
