#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i     7475.1991679327175    All      0.24577644448989133        -0.04116569344994048       0.08704483524156936        -0.08958208322857877       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V     5439.061828978924     All      0.43286620449113966        0.1327922780797408         0.09257691254575852        -0.0936126675546026        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6311.055911674203     All      0.25061591475243344        -0.020487421849679777      0.08886383190668164        -0.084341691084983         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6313.379085423227     All      0.23394333493784314        -0.04095032291910883       -0.17865223999036506       -0.09751433704743713       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5295.403719902342     All      0.08450408856302104        0.049448585853273386       0.07659945983174433        -0.008000448440651035      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4415.999659866623     All      -0.061256183397210937      0.027473346781903274       -0.08686405701287855       0.025025783181872915       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5340.7432444072965    All      0.09269092994967887        0.043933217544989134       -0.24931779390140574       -0.027007899077909556      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g     4673.084704774394     All      -0.4265532648056649        0.44883915000628605        0.12291480117798514        0.29062923210857816        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B     4340.192297247781     All      -0.4568730544694359        0.2961334881254274         -0.11966789903733362       0.23993877538330574        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r     6160.151814517427     All      0.7042787951206064         -0.052975198998517214      0.16678896406809068        -0.23921951336866293       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7822.420142844614     All      0.11446989335586163        -0.024354040445029312      -0.0026832789275291883     -0.04533926482539494       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4290.170020987254     All      -0.2902673326194884        0.19223622658044448        -0.009829738078982183      0.15672862706290305        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8155.040802153553     All      0.07259112648833559        -0.014433530919077953      0.013157834530643512       -0.027759620220428462      
Check         All|All|All                       All                   All      0.9967868968570108         0.996490084390711          0.0009316323539788011      -5.5107111988524776e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i     7475.1991679327175    All      -1.786429062338033e-05     -1.5750928981997095e-05    -0.00018631504423158505    -7.625993295877499e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V     5439.061828978924     All      0.0001194647375232345      1.3326578056168222e-05     -0.0005014400200794024     -5.69496554455845e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6311.055911674203     All      -2.5285138830783186e-05    6.045714906037721e-07      -2.843396077143775e-05     7.164253321074915e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6313.379085423227     All      1.1122675631568216e-05     -4.83383511130505e-06      -4.0821118797515276e-05    -7.0192195498804104e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5295.403719902342     All      4.690064780779784e-05      2.571907812745819e-05      9.054227325472951e-06      -6.495485516856629e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4415.999659866623     All      -6.587594695621447e-05     2.9756364779276803e-05     -9.361846207422938e-05     2.6972828153525034e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5340.7432444072965    All      6.986924970184545e-05      2.892962061166557e-05      -0.00033574976022793414    -2.83183538245625e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g     4673.084704774394     All      -0.00023777320087037837    5.4129556039347286e-05     -0.0007757799127090823     6.046283676501022e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B     4340.192297247781     All      -0.00034796728304772905    0.0001475591934657858      -0.0004680517440052989     0.00014052227608625048     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r     6160.151814517427     All      7.420253902646839e-06      -1.3008853314760169e-05    -0.0001654200322711259     -1.403636861190595e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7822.420142844614     All      -1.559952994909374e-06     1.3235489373537179e-06     9.848925000319607e-06      1.3787637320217846e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4290.170020987254     All      -0.0001969400538445599     0.00011101209655790531     -0.00010119189775731773    9.579441707156766e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8155.040802153553     All      1.5817088813168079e-06     -8.829355656336106e-07     -4.252799134693171e-06     -9.925986737470303e-07     
MWEBV         All|All|All                       All                   All      -0.8533856707964569        -4.07031515511207          0.012790692153490308       -1.0472889770327638        
Redshift      All|All|All                       All                   All      4.781238226138434          0.5759306844831613         3.7515020285282654         -1.2023947113182085        
