#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6437.900203533999    All      0.2794942626552372        0.05119189765654397        0.2206061352466926        -0.06452095259605745       
Zeropoint     AB|SDSS|SDSS_g            3417.21453985276     All      -0.7931356741971275       0.2562791729436853         0.6258559750915771        0.3697580181525599         
Zeropoint     AB|SDSS|SDSS_i            5414.929844230457    All      0.8809741201952499        0.2008504342345674         -0.7036119276056907       -0.2529376286783916        
Zeropoint     AB|SDSS|SDSS_r            4465.277850017822    All      0.6298670929532183        0.4898108899245912         -0.1376261491875863       -0.05176253598284247       
Check         All|All|All               All                  All      0.997199801606578         0.9981323947593879         0.005224033544992679      0.0005369008952683663      
Lambda        AB|SDSS|SDSS_z            6437.900203533999    All      -0.0001408892359718846    -4.449185311540303e-05     -0.0006384582634420855    2.9083390113732424e-06     
Lambda        AB|SDSS|SDSS_g            3417.21453985276     All      -0.000834118320524838     0.0003280326628738991      0.0011791394643222311     0.00043117038762569476     
Lambda        AB|SDSS|SDSS_i            5414.929844230457    All      0.00036533148766699705    8.496042505354233e-05      0.0002923154923019381     -7.828138116224404e-05     
Lambda        AB|SDSS|SDSS_r            4465.277850017822    All      -0.0006149835410319234    -0.00020541009883774517    -0.003069912917051045     -3.5845691992882827e-06    
MWEBV         All|All|All               All                  All      -0.7307934838083405       -2.596271046209253         -0.14225293855562038      -0.6139955097664601        
Redshift      All|All|All               All                  All      3.1334767997831907        0.7719270403146794         -0.027109324718121997     -0.7704442139918222        
