#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6437.900203533999    All      0.21993615874602104        0.03954329540807322        0.18989635985197026       -0.05028568796033483       
Zeropoint     AB|SDSS|SDSS_g            3417.21453985276     All      -0.8826590648148281        0.201030222376275          -0.09267459063790148      0.348857611815541          
Zeropoint     AB|SDSS|SDSS_i            5414.929844230457    All      1.108248703420019          0.26808907124244996        -0.16708816794979106      -0.2811240101585311        
Zeropoint     AB|SDSS|SDSS_r            4465.277850017822    All      0.5489223152477635         0.4890691442989592         0.06379787567417684       -0.016649140710567438      
Check         All|All|All               All                  All      0.9944481125989754         0.9977317333257574         -0.006068523061545442     0.0007987729861075946      
Lambda        AB|SDSS|SDSS_z            6437.900203533999    All      -4.4807520434389574e-05    -9.869199207564039e-06     -7.880279995922e-05       7.863953626192961e-06      
Lambda        AB|SDSS|SDSS_g            3417.21453985276     All      -0.001242657400991512      0.00024711956247685753     -0.0006517012277786272    0.00045618693656765397     
Lambda        AB|SDSS|SDSS_i            5414.929844230457    All      0.0002049904105667536      4.367231361968921e-05      -0.0005671145557476668    -7.785432934348364e-05     
Lambda        AB|SDSS|SDSS_r            4465.277850017822    All      -0.00049978567788905       -0.00018428023342520355    -0.0028624940471159324    -2.4969459280467845e-05    
MWEBV         All|All|All               All                  All      -0.6722665555093152        -2.5912460255407055        0.0014906459127325452     -0.6250082252577674        
Redshift      All|All|All               All                  All      3.5136598295517025         0.7956431892418792         1.996848203227463         -0.7962372757223652        
