#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    6828.221599973261    All      0.5777322389971131         -0.009882581370845855      0.6338216227403916         -0.16312093096173466       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4268.629798725437    All      -0.9583308377383939        0.49682108372355316        -0.3725699205858336        0.45736476949240645        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    4968.311697104235    All      0.47029527604128496        0.28427333458918014        0.5611373554851636         -0.03555248330639653       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5626.991433143975    All      1.3402213288247964         0.03335077333055381        -0.9716302177292508        -0.4690501287697557        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    3964.549188098852    All      -0.43072920597122916       0.19339195939771514        0.15737586953885552        0.2103197587934096         
Check         All|All|All                      All                  All      0.9991888001535715         0.9979545696701564         0.00813470944932626        -3.9014752070826164e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    6828.221599973261    All      -0.00041928671991329       7.451203910794568e-06      -0.0004827041462552538     0.00011746171198277355     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4268.629798725437    All      -0.0005155078842220874     6.497886944983757e-05      -0.0019049724461526185     0.00010407346206808343     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    4968.311697104235    All      -2.468838761677269e-05     -2.2322483909637453e-05    -0.00010966013132885894    -4.122975337106983e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5626.991433143975    All      -0.00017388943782271156    -1.9438784153880266e-05    -0.00020849036106584436    4.1005691922739615e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    3964.549188098852    All      -0.0003222722273623945     0.000139053221163268       7.066356565432675e-05      0.0001534222661303926      
MWEBV         All|All|All                      All                  All      -0.7229455194812218        -3.6108001990900362        0.05836805895198922        -0.9380645783493134        
Redshift      All|All|All                      All                  All      4.872749436772542          1.1067699298967781         3.0094057928817204         -1.092407463599664         
