#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_v10    4786.368975967312     All      0.5290037031832554         0.09495224641575817        2.6548306554972423        -0.02291194037927525       
Zeropoint     Linear_AB11_off|NB99|NB99_r10    6507.272406167331     All      1.1531281375490987         -0.19660267103631668       2.717565320793095         -0.3183792702399874        
Zeropoint     Linear_AB11_off|NB99|NB99_v1     4863.892479278252     All      0.19493548853871365        0.5202414364456232         -1.3168270555436328       0.0471989059600755         
Zeropoint     Linear_AB11_off|NB99|NB99_r16    5339.338690446019     All      -0.17707614720355902       0.38745217977815827        -3.6191211646588575       0.02238069297180905        
Zeropoint     Linear_AB11_off|NB99|NB99_i10    6990.591426422501     All      0.5357153387012474         -0.06048347819156419       2.339449335903263         -0.08980268986125883       
Zeropoint     Linear_AB11_off|NB99|NB99_r12    5785.499367320452     All      -0.2269104247714989        0.002251371732420182       -3.4426571028367365       -0.07898443862694264       
Zeropoint     Linear_AB11_off|NB99|NB99_b10    3905.4281001472373    All      -0.624798937834796         0.03255556569623508        0.30801430932170687       0.2278672520873306         
Zeropoint     Linear_AB11_off|NB99|NB99_b1     3765.6017831200484    All      -0.2929887614233959        0.2001752768041598         1.3516428062192403        0.2209573624363491         
Zeropoint     Linear_AB11_off|NB99|NB99_v12    4807.61953025191      All      -0.11542732494194172       0.001782581750653378       -1.1210406872772045       -0.011847774418365454      
Check         All|All|All                      All                   All      0.9755810717971238         0.9823245093951272         -0.12814358258188352      -0.003521900070265366      
Lambda        Linear_AB11_off|NB99|NB99_v10    4786.368975967312     All      -0.00010383104447571135    -2.2105498146884293e-05    -0.000560787016155561     1.5953502004935477e-06     
Lambda        Linear_AB11_off|NB99|NB99_r10    6507.272406167331     All      -0.0004681601373287146     8.051601468450143e-05      -0.0010893757735643448    0.00013010803616772014     
Lambda        Linear_AB11_off|NB99|NB99_v1     4863.892479278252     All      -9.641573194985219e-05     -7.060724445283811e-05     -0.000783782891764372     -2.656995722303091e-05     
Lambda        Linear_AB11_off|NB99|NB99_r16    5339.338690446019     All      8.75744121759255e-06       -1.9924317771653996e-05    0.00018546033177394963    -1.0663496860636627e-06    
Lambda        Linear_AB11_off|NB99|NB99_i10    6990.591426422501     All      -0.00044956121224637945    4.952670227588229e-05      -0.0019550077394142576    7.53263368802959e-05       
Lambda        Linear_AB11_off|NB99|NB99_r12    5785.499367320452     All      -4.5184403090982576e-05    5.643933687064518e-07      -0.000696848670785413     -1.6195267569352627e-05    
Lambda        Linear_AB11_off|NB99|NB99_b10    3905.4281001472373    All      -0.0008089924957864059     2.8824965431554742e-05     3.286171008632735e-05     0.0002743711776872272      
Lambda        Linear_AB11_off|NB99|NB99_b1     3765.6017831200484    All      -0.00038788352390333695    0.000271148360180714       0.0018099318510924815     0.00029543731194909477     
Lambda        Linear_AB11_off|NB99|NB99_v12    4807.61953025191      All      -0.00010473872939806578    1.5727904839359673e-06     -0.0010206852272388993    -1.0919334283298855e-05    
MWEBV         All|All|All                      All                   All      -0.675954703703614         -3.4680288575087204        0.3593366972429176        -0.8934348619813768        
Redshift      All|All|All                      All                   All      8.675394592377065          -0.6355070673256691        15.958028333724505        -2.320733478170188         
