#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_v10    4786.368975967312     All      0.533797370662207          0.06583201970880026        2.68804281870354           -0.032476705143655304      
Zeropoint     Linear_AB11_off|NB99|NB99_r10    6507.272406167331     All      0.9708712210643462         -0.15015698620342022       1.5816365905089391         -0.2945745909993622        
Zeropoint     Linear_AB11_off|NB99|NB99_v1     4863.892479278252     All      0.07514961389536484        0.5598225767133869         -2.2209063317376376        0.05876507992507024        
Zeropoint     Linear_AB11_off|NB99|NB99_r16    5339.338690446019     All      -0.19142260672154476       0.3900636335291807         -3.9147356652692977        0.014712525768349055       
Zeropoint     Linear_AB11_off|NB99|NB99_i10    6990.591426422501     All      0.6132438522277021         -0.0930775407674389        2.5381358623457473         -0.11680676868201095       
Zeropoint     Linear_AB11_off|NB99|NB99_r12    5785.499367320452     All      -0.12786572661107556       -0.022129699209472165      -2.1228831425837313        -0.06029282186722079       
Zeropoint     Linear_AB11_off|NB99|NB99_b10    3905.4281001472373    All      -0.4184206801723598        -0.05385200737695328       1.404109889527616          0.18141098620869378        
Zeropoint     Linear_AB11_off|NB99|NB99_b1     3765.6017831200484    All      -0.40136694599213596       0.27757294995698345        0.805118937767979          0.25708182098479887        
Zeropoint     Linear_AB11_off|NB99|NB99_v12    4807.61953025191      All      -0.0813367004081921        0.006740670900207135       -0.8382804869526694        -0.008718910555086806      
Check         All|All|All                      All                   All      0.9726493979443124         0.9808156172512739         -0.07976152768951472       -0.0008993843604241103     
Lambda        Linear_AB11_off|NB99|NB99_v10    4786.368975967312     All      -4.638165153816866e-05     -2.7726563473775264e-05    0.00013835753464524195     1.225083723478552e-05      
Lambda        Linear_AB11_off|NB99|NB99_r10    6507.272406167331     All      -0.00030562171988268575    5.116516800629285e-05      -0.00037703869103347166    9.93917222206492e-05       
Lambda        Linear_AB11_off|NB99|NB99_v1     4863.892479278252     All      -0.00011649826034109328    -2.2030909332450505e-05    -0.0016614845357392895     -4.337329980053417e-05     
Lambda        Linear_AB11_off|NB99|NB99_r16    5339.338690446019     All      -6.960943329539998e-06     2.407732371238929e-06      5.918776330816705e-05      5.692963932898311e-06      
Lambda        Linear_AB11_off|NB99|NB99_i10    6990.591426422501     All      -0.0005609623494669716     8.052506551205659e-05      -0.0022969568784658445     0.00010645091942319461     
Lambda        Linear_AB11_off|NB99|NB99_r12    5785.499367320452     All      -6.474068562124183e-05     -1.3669178852038127e-05    -0.0011623430266190816     -3.523436087218582e-05     
Lambda        Linear_AB11_off|NB99|NB99_b10    3905.4281001472373    All      -0.0006938913307596514     -0.00013141672277459582    0.002782001510471004       0.0003073644348272258      
Lambda        Linear_AB11_off|NB99|NB99_b1     3765.6017831200484    All      -0.0006688002477365451     0.00047142675958029487     0.001348577477168471       0.0004315902676511142      
Lambda        Linear_AB11_off|NB99|NB99_v12    4807.61953025191      All      -7.930452232977957e-05     1.0798381346496985e-05     -0.0007804582790374028     -5.4787884533705645e-06    
MWEBV         All|All|All                      All                   All      -0.671069840752418         -3.464938400411377         0.23489276872519227        -0.8995727199816311        
Redshift      All|All|All                      All                   All      8.893962337545556          -1.1003255386583533        10.961917149530542         -2.76628834746522          
