#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7411.440240305197    All      0.6817837856042954         -0.18750506430089686      -0.24166849402975643       -0.29394053211311694       
Zeropoint     AB|PS|PS_g                4818.371700350853    All      -1.0236581985317967        1.27801706767805          0.16357591859630372        0.7570309990415441         
Zeropoint     AB|PS|PS_z                8517.553278114241    All      0.31156946636048344        -0.08538407807749948      0.023991781568843962       -0.1282301857860102        
Zeropoint     AB|PS|PS_r                6119.004959865261    All      1.0284021236575618         -0.0030467860994143336    0.069376563168011          -0.3328808861898888        
Check         All|All|All               All                  All      0.9980971770905438         1.0020811392002393        0.015275769303402242       0.0019793949525281906      
Lambda        AB|PS|PS_i                7411.440240305197    All      -0.00031329075067880214    -0.0001445216662217505    -0.0020515439850529744     -3.657734250658172e-05     
Lambda        AB|PS|PS_g                4818.371700350853    All      -0.0002503784727302959     0.00014761063218797407    -0.0009052350339857165     8.924166295186541e-05      
Lambda        AB|PS|PS_z                8517.553278114241    All      0.0002620782992123055      -7.022171901011764e-05    4.2540149670340164e-05     -0.00010634267678097281    
Lambda        AB|PS|PS_r                6119.004959865261    All      -0.00016632765889172316    -8.611348656458518e-06    -0.00019649820569593717    4.260457851951833e-05      
MWEBV         All|All|All               All                  All      -0.6908466935344135        -4.100682650587739        -0.03144961439662808       -1.1120992033308352        
Redshift      All|All|All               All                  All      4.715761056468906          1.0981648544212241        6.200275485392792          -0.9016802803090779        
