#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7411.440240305197    All      0.6376231842012599         -0.15173220589739245       -0.0703726634145216       -0.26025942833434584      
Zeropoint     AB|PS|PS_g                4818.371700350853    All      -1.067681285165008         1.2457728321006556         -0.15260977518051708      0.7467578430182191        
Zeropoint     AB|PS|PS_z                8517.553278114241    All      0.3487566408259212         -0.0888553101535905        0.07145695663496471       -0.13935581365489302      
Zeropoint     AB|PS|PS_r                6119.004959865261    All      1.0794862420892226         -0.00564323502851849       0.1536520718040293        -0.3466055841304851       
Check         All|All|All               All                  All      0.9981847819513958         0.9995420810211542         0.0021265898439553066     0.0005370168984951684     
Lambda        AB|PS|PS_i                7411.440240305197    All      -0.00025545111546911367    -0.00010643951363904158    -0.0017663019391501408    -3.028396216074828e-05    
Lambda        AB|PS|PS_g                4818.371700350853    All      -0.00014467772877427895    -3.0569137960092154e-05    -0.0009187854775194493    -3.832253943315233e-06    
Lambda        AB|PS|PS_z                8517.553278114241    All      0.0003302756401422941      -8.245417691250787e-05     8.876739353794343e-05     -0.0001304783987427048    
Lambda        AB|PS|PS_r                6119.004959865261    All      -0.00015912363665367713    -1.1076004472417598e-05    -0.0001568588692945273    4.122409351397697e-05     
MWEBV         All|All|All               All                  All      -0.6943913758069455        -4.099372273369539         -0.04130713129226369      -1.1109576464331057       
Redshift      All|All|All               All                  All      4.398611433023113          1.6638651890847456         4.974249531220826         -0.6688189114531315       
