#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|WFC3|WFC3_f125w 6195.145249219066 All -2.797930863533681 4.833324000595841 0.48254424318707234 2.507284503402655
Zeropoint AB|ACSWF|F814W 4004.5123673220623 All 0.08070879609270398 -0.2036740750725361 -0.8121582053259617 -0.12887574765306087
Zeropoint AB|WFC3|WFC3_f160w 7604.0864628497175 All 1.5199342704853924 -1.4969572551817478 -1.5706919873108585 -1.0527935921591949
Zeropoint AB|ACSWF|F850LP 4473.052573861325 All -0.4268787881630478 0.5118798692595838 0.5139672851950434 0.3287205783369227
Check All|All|All All All -1.6241665851186315 3.644572539601141 -1.3863386642547044 1.6543357419273217
