#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|WFC3|WFC3_f125w        6195.145249219066     All      0.7331604529520251         1.1890278689611122        2.033932298095309         0.2392560719375063        
Zeropoint     AB|ACSWF|F814W            4004.5123673220623    All      -0.23116910918024916       0.06542168335634813       -1.1718212544379816       0.04431637807120319       
Zeropoint     AB|WFC3|WFC3_f160w        7604.0864628497175    All      1.004166652896417          -0.9189045171286381       -1.8596547478832066       -0.7093953975521351       
Zeropoint     AB|ACSWF|F850LP           4473.052573861325     All      -0.5024214160608607        0.6462952587977355        0.9288926201606651        0.41562702404580043       
Check         All|All|All               All                   All      1.0037365806073326         0.9818402939865578        -0.06865108406521414      -0.010195923497625159     
Lambda        AB|WFC3|WFC3_f125w        6195.145249219066     All      -1.1287450226617722e-05    -0.000597681289952951     -0.001849797078571645     -0.0002735557131891364    
Lambda        AB|ACSWF|F814W            4004.5123673220623    All      -0.00012778864010657418    3.6344722908822684e-05    -0.0006481669474498818    2.453892221979253e-05     
Lambda        AB|WFC3|WFC3_f160w        7604.0864628497175    All      -0.00029502394233450746    0.0002605391722112244     0.0005048558825212273     0.0002034945832088404     
Lambda        AB|ACSWF|F850LP           4473.052573861325     All      -0.0003037535292923911     0.0003917251817418686     0.0005666849016130563     0.00025182884122320796    
MWEBV         All|All|All               All                   All      -0.08426014220068034       -1.4753682864384388       0.006338813420276102      -0.4528468165469644       
Redshift      All|All|All               All                   All      2.7740562138405727         -0.921078940045561        -7.239506406729852        -1.526693007038477        
