#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           5550.669300223433     All      0.3920281331612647         0.055969942905065295      0.29318024021248723        -0.09638192095996374      
Zeropoint     AB|MEGACAMPSF|g           3092.9767642569886    All      -0.3666060301452585        0.023304588281725103      0.07711816968611895        0.13044814582214395       
Zeropoint     AB|MEGACAMPSF|i           4818.860870931884     All      2.0373739278794787         0.47883506902621775       0.16266344513150566        -0.5004084582639234       
Zeropoint     AB|MEGACAMPSF|r           3941.1847978068654    All      -0.9320527835966973        0.4354851017369654        -0.4694918913835777        0.42450081309905946       
Check         All|All|All               All                   All      1.130743247298788          0.9935947019499736        0.06346996364653412        -0.041841420302683785     
Lambda        AB|MEGACAMPSF|z           5550.669300223433     All      1.707714875810889e-05      -4.269617581183058e-06    -1.2576924201491544e-05    -7.514594447848956e-06    
Lambda        AB|MEGACAMPSF|g           3092.9767642569886    All      -0.0012018843598236213     4.97414400813322e-05      0.00042420728367528504     0.0004266261230516181     
Lambda        AB|MEGACAMPSF|i           4818.860870931884     All      -0.00041217154653975315    -9.385351719487712e-05    -0.0006029131784101557     7.678140843735658e-05     
Lambda        AB|MEGACAMPSF|r           3941.1847978068654    All      -0.0007473475740553043     0.0002483679789179765     -0.0023537447794840264     0.00021930049452246553    
MWEBV         All|All|All               All                   All      -0.393753011480539         -2.1661600675015436       0.15783985462632932        -0.5702876208264488       
Redshift      All|All|All               All                   All      4.040607872268755          0.35633571077600124       0.12209725352467782        -1.1946400122996328       
