#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                    
Zeropoint     AB|MEGACAMPSF|z           5550.669300223433     All      0.3497990669705646         0.06010917809842198        0.2352040270193            -0.08386545184706794     
Zeropoint     AB|MEGACAMPSF|g           3092.9767642569886    All      -0.5105492573113387        0.014347990860308357       0.13745332635600468        0.1771102129910162       
Zeropoint     AB|MEGACAMPSF|i           4818.860870931884     All      1.9345468611139907         0.47725991155775915        0.1430102851489021         -0.4683044105833329      
Zeropoint     AB|MEGACAMPSF|r           3941.1847978068654    All      -0.7986021656262023        0.4462238969260568         -0.507419241728855         0.3828370118682104       
Check         All|All|All               All                   All      0.9751945051470143         0.9979409774425463         0.008248396795351831       0.0077773624288257626    
Lambda        AB|MEGACAMPSF|z           5550.669300223433     All      -2.4792987175918734e-05    -4.212591090516999e-06     -1.5743496730850932e-05    6.001152128102657e-06    
Lambda        AB|MEGACAMPSF|g           3092.9767642569886    All      -0.0014332988125897725     4.406617363002645e-05      0.0003925168694506846      0.0004987426049949651    
Lambda        AB|MEGACAMPSF|i           4818.860870931884     All      -0.0004547368081378114     -0.00010773035401482478    -0.0006552633663716703     8.379002375572241e-05    
Lambda        AB|MEGACAMPSF|r           3941.1847978068654    All      -0.0006675837729813506     0.00030259148024275496     -0.0016655012096453694     0.000241694328176772     
MWEBV         All|All|All               All                   All      -0.4823973594562938        -2.166095372737864         0.12399482170467202        -0.542902515540075       
Redshift      All|All|All               All                   All      4.011369160391894          0.33383847546542           0.10110800483234296        -1.1933807453630108      
