#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4344.656425738292    All      -1.0731462195664092       0.7588280930385771         -0.065421774142993         0.5938148304714647        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5435.393765134295    All      0.6254305377502232        0.4372260632210523         -0.03530816133436865       -0.0628800301732832       
Zeropoint     AB|CNIa02|SDSS_i                      7431.937467848702    All      0.5252279576656683        -0.09713547690983759       0.17860294171287983        -0.19475401679506232      
Zeropoint     AB|CNIa02|SDSS_r                      6128.549531119276    All      0.920520494354059         -0.10095343215410502       -0.078406994916147         -0.3362266074305134       
Check         All|All|All                           All                  All      0.998032770203541         0.9979652471956868         -0.0005339886806288163     -4.582392739421737e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4344.656425738292    All      -0.0003995935897234243    5.294031673724581e-05      -0.0011277852431204037     9.707730558735336e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5435.393765134295    All      4.043922692790195e-05     -5.2782035742688035e-05    -0.0008170339439508838     -6.682570455760948e-05    
Lambda        AB|CNIa02|SDSS_i                      7431.937467848702    All      -2.826216588680662e-05    -1.1255540599511352e-05    -0.00010796437880485451    7.216629938209121e-07     
Lambda        AB|CNIa02|SDSS_r                      6128.549531119276    All      1.6585272533830977e-05    -1.3782853816995161e-05    -5.930743122743534e-05     -1.253851610064651e-05    
MWEBV         All|All|All                           All                  All      -0.8752390524724976       -4.06467757645248          0.042055100901228215       -1.0370283306698744       
Redshift      All|All|All                           All                  All      4.989186373359905         -0.13214657581457345       3.0036572184129806         -1.5341472020364497       
