#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4344.656425738292    All      -1.1238417272939931        0.7870710758073329         -0.11229584880266097       0.6174359191580983        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5435.393765134295    All      0.5765209341308605         0.44244672108950667        0.0650621977705235         -0.04076895503152837      
Zeropoint     AB|CNIa02|SDSS_i                      7431.937467848702    All      0.5152923302399158         -0.10467869372945415       0.16612674727762106        -0.19453148520922994      
Zeropoint     AB|CNIa02|SDSS_r                      6128.549531119276    All      1.0297710770533146         -0.12648111427298048       -0.11753688076346644       -0.3818745094432866       
Check         All|All|All                           All                  All      0.9977426141300973         0.998357988894405          0.0013562154820171424      0.0002609694740534074     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4344.656425738292    All      -0.0005312164117872824     0.00017908243062014783     -0.000900473218080699      0.00019118371711087116    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5435.393765134295    All      8.143593884562717e-05      -6.024805790173328e-05     -0.0008417443060418742     -8.371432139253981e-05    
Lambda        AB|CNIa02|SDSS_i                      7431.937467848702    All      -6.42550681510972e-05      -3.3180439650910964e-05    -0.0003208189966398513     -4.194649524258433e-06    
Lambda        AB|CNIa02|SDSS_r                      6128.549531119276    All      -1.4976142229105718e-05    -4.35430446090407e-05      -0.00031099024596084265    -2.318324627901317e-05    
MWEBV         All|All|All                           All                  All      -0.8858898417171059        -4.0653627728809205        0.02941242583104522        -1.0343463937540591       
Redshift      All|All|All                           All                  All      4.576130817664695          -0.3112108938806202        1.1330421403263482         -1.5414055173682755       
