#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_z          6093.73033183174     All      1.1485680081246499         0.11209244038550281        0.32867373589100524       -0.3229469921570291       
Zeropoint     AB|DECam|DECam_g          3220.543992691038    All      -0.4859108317280957        0.17134782422800754        0.14612234620911546       0.22061153660806257       
Zeropoint     AB|DECam|DECam_i          5200.081169568839    All      0.6852162984703896         0.2635807504917764         0.017095125676458434      -0.13657769243027307      
Zeropoint     AB|DECam|DECam_r          4280.34221776142     All      -0.3284997506428928        0.4462676311584701         -0.42656647955580107      0.23333152250886585       
Check         All|All|All               All                  All      1.0193737242240508         0.9932886462637569         0.06532472822077806       -0.005581625470373747     
Lambda        AB|DECam|DECam_z          6093.73033183174     All      -0.0002959996646300948     -4.9405714690709905e-05    -0.0006118579786618918    5.301935076961099e-05     
Lambda        AB|DECam|DECam_g          3220.543992691038    All      -0.00093995863319092       0.0003888923280972314      0.0012008176433922894     0.000486437452258272      
Lambda        AB|DECam|DECam_i          5200.081169568839    All      0.00020458606700870884     4.0889452820345234e-05     -0.0005063781049940942    -7.591870181516435e-05    
Lambda        AB|DECam|DECam_r          4280.34221776142     All      -0.00018727879571116244    7.877972183268553e-06      -0.0015507727289636752    -5.634884681951959e-06    
MWEBV         All|All|All               All                  All      -0.43860035689320065       -2.29592990960672          0.036496804241586966      -0.6033646548965543       
Redshift      All|All|All               All                  All      4.343446267726259          -0.2989732062845363        -8.325399565507114        -1.8837130991808697       
