#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_z          6093.73033183174     All      1.078086831893518          0.1299988158370624         0.22404446246632628        -0.29882538263797037      
Zeropoint     AB|DECam|DECam_g          3220.543992691038    All      -0.4425963737029849        0.15510372237788062        0.024436143173416146       0.1957810578813106        
Zeropoint     AB|DECam|DECam_i          5200.081169568839    All      0.618192428510572          0.26875281065823486        -0.045084885061727614      -0.11583591110937912      
Zeropoint     AB|DECam|DECam_r          4280.34221776142     All      -0.2629403021784313        0.4454043751000114         -0.20125797311060883       0.22174994624178804       
Check         All|All|All               All                  All      0.9907425845226739         0.9992597239731893         0.0021377474674059704      0.0028697103757491516     
Lambda        AB|DECam|DECam_z          6093.73033183174     All      -0.00019794674638228102    -4.1475566500822596e-05    -0.0005086703440695086     2.8268189818871573e-05    
Lambda        AB|DECam|DECam_g          3220.543992691038    All      -0.0011921678015242244     0.00040008776629913014     -0.00010854079204787774    0.0005138063450530278     
Lambda        AB|DECam|DECam_i          5200.081169568839    All      0.00018281186603670072     5.40577199067978e-05       -0.0007328256453359679     -7.464210408499366e-05    
Lambda        AB|DECam|DECam_r          4280.34221776142     All      -0.0002529966755129729     4.643180099550684e-05      -0.0016122278428272448     2.5587381772360637e-05    
MWEBV         All|All|All               All                  All      -0.44917495772719684       -2.287230852934563         0.03296401184922638        -0.597244242861245        
Redshift      All|All|All               All                  All      4.780345210853811          -0.32202936072334154       -4.027702444305348         -1.8417491226211682       
