#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    4968.311697104235    All      0.22365024153823848        -0.03945931292353988      0.018502818825025247      -0.08487774211164492      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    3964.549188098852    All      -0.2413189122560328        0.029706447569155525      -0.9165522752270672       0.047380357693511434      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5626.991433143975    All      0.6951209512274171         0.11034833817843426       -3.4105237848708057       -0.3426756910671933       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    6828.221599973261    All      0.8335521206564656         0.03700455784797496       1.6501983034338086        -0.1858209756475762       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4268.629798725437    All      -0.6751718390862838        0.8267611939628328        2.541358827085621         0.6026381734071162        
Check         All|All|All                      All                  All      0.8358325620798047         0.9643612246348576        -0.11701611075341845      0.03664412227421321       
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    4968.311697104235    All      7.301317756390137e-05      -6.215806059180325e-05    -0.0001357127708113801    -5.008595692405984e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    3964.549188098852    All      -0.00022197704819329456    4.62282818120866e-06      -0.0007232208753473027    4.1537008616261485e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5626.991433143975    All      0.00013795515232981872     -1.73558966014721e-05     -0.0007262238283443583    -8.299795225226969e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    6828.221599973261    All      -0.0007561420130812008     -5.922773732478225e-05    -0.0021831169929029818    0.00012958542271293487    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4268.629798725437    All      -0.00019532483751648447    0.00018756606097944235    0.000789089348789096      0.00015993359585668828    
MWEBV         All|All|All                      All                  All      -0.6155273612690442        -3.6481220301681105       0.6007064973086784        -0.9610090810318495       
Redshift      All|All|All                      All                  All      6.646395652070176          0.7142606817190256        21.24291947539474         -0.9843175903003487       
