#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    4968.311697104235    All      0.08766895520375297        0.04623821278997298       -0.5383641575743541        -0.037520075570510264     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    3964.549188098852    All      -0.1754888469150991        0.050040381184501825      -0.22381372618028111       0.06347451062309525       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5626.991433143975    All      1.0279345484240605         0.13330521536119022       -2.0920353593067262        -0.38476813592439474      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    6828.221599973261    All      0.9705422585235208         -0.009405639612580785     1.720002646285622          -0.2424454513338669       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4268.629798725437    All      -0.9097778179904313        0.7785695695872619        1.1691619334987209         0.6021246164387681        
Check         All|All|All                      All                  All      1.000879097245804          0.9987477393103461        0.03495133672298145        0.0008654642330914175     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    4968.311697104235    All      -3.0145238369087615e-05    -7.487787458469497e-06    -0.0006701442671559149     -2.252518361229389e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    3964.549188098852    All      -0.0001766552464182561     4.9932486333972337e-05    -0.00023464317480917423    6.333603185777575e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5626.991433143975    All      -0.00015097900484205246    -3.207316332992151e-05    -4.129028339626162e-05     3.688894875792936e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    6828.221599973261    All      -0.0007032141255840814     8.598558867729059e-07     -0.0014217951717329675     0.0001658918706656149     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4268.629798725437    All      -0.00042282674234172906    0.00012180609425051814    -0.0011790029850343882     0.00012479134450896939    
MWEBV         All|All|All                      All                  All      -0.7034827084248447        -3.6209127788731976       0.05041341154684341        -0.9480532355265261       
Redshift      All|All|All                      All                  All      4.7157146302495905         1.2125471585907377        10.377106659576725         -0.6780142864159092       
