#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7112.395630263554    All      0.14538955063507225        0.026656171965910858       0.36609725816210137        -0.02233812843679267       
Zeropoint     AB|SDSS|SDSS_g            3775.234314377874    All      -0.9838422815822089        0.5224289647884461         0.5347582082902202         0.5145059025753795         
Zeropoint     AB|SDSS|SDSS_r            4933.102667690595    All      0.6211904332112432         0.3416963728039235         -0.9100409630708128        -0.13165135907101666       
Zeropoint     AB|SDSS|SDSS_i            5982.249203109292    All      1.2157188375522996         0.1086713240063375         0.01910241713715677        -0.3597493428007074        
Check         All|All|All               All                  All      0.9984565398164065         0.999452833564618          0.00991692051866555        0.0007670722668627894      
Lambda        AB|SDSS|SDSS_z            7112.395630263554    All      -5.547167748773826e-05     -1.6728375176428065e-05    -0.0002380412066870421     1.9972824088551865e-06     
Lambda        AB|SDSS|SDSS_g            3775.234314377874    All      -0.0018550860173059823     0.00034624542290488013     -0.0028543466136734725     0.0005896696919014973      
Lambda        AB|SDSS|SDSS_r            4933.102667690595    All      -5.8135878038924904e-05    -4.635322130366238e-05     -0.0008779036081652656     -3.5338807030416574e-05    
Lambda        AB|SDSS|SDSS_i            5982.249203109292    All      -0.00015954850186453856    -2.527451848929514e-05     -0.00013990993385948957    3.749391610309229e-05      
MWEBV         All|All|All               All                  All      -0.5236950579614348        -3.005503600428483         0.27176336419056923        -0.7962791405775049        
Redshift      All|All|All               All                  All      6.007164993170926          1.0918310514639984         14.571447109677049         -0.950829214228395         
