#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7112.395630263554    All      0.13837552517472645        0.028539108589065165       0.3664301131019236         -0.019425241397621425     
Zeropoint     AB|SDSS|SDSS_g            3775.234314377874    All      -1.0208544110541022        0.47972184190285816        0.02757678215280141        0.49001767821234343       
Zeropoint     AB|SDSS|SDSS_r            4933.102667690595    All      0.605728843103931          0.3861488436688987         -0.3413557770201609        -0.08675757032143142      
Zeropoint     AB|SDSS|SDSS_i            5982.249203109292    All      1.2749098137392738         0.10483165780925674        -0.04631051762537037       -0.38319957551944395      
Check         All|All|All               All                  All      0.9981597709638291         0.9992414519700787         0.006340600609193718       0.000635290973846625      
Lambda        AB|SDSS|SDSS_z            7112.395630263554    All      -4.781400098829264e-05     -1.1506849220493874e-05    -0.00015097916325580789    5.088927166694816e-06     
Lambda        AB|SDSS|SDSS_g            3775.234314377874    All      -0.0016671165042678833     0.0004731698981010641      -0.0016249913580401057     0.000624645793588747      
Lambda        AB|SDSS|SDSS_r            4933.102667690595    All      8.13914981864669e-07       -1.6986223975934808e-06    -0.0006425152580113425     -2.949092108371729e-05    
Lambda        AB|SDSS|SDSS_i            5982.249203109292    All      -0.00011269092882197142    -1.1420604591865947e-05    -3.407319200945733e-05     3.146654622957975e-05     
MWEBV         All|All|All               All                  All      -0.5381470188729454        -3.0147262718257295        0.15393098824688042        -0.7998341066980331       
Redshift      All|All|All               All                  All      5.22691942675099           0.49542460092624196        10.097403575961438         -1.090602780429326        
