#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3196.148029587537    All      -0.14078392659431027       0.10210586042873615        0.6016307892154352         0.1059652134024629         
Zeropoint     AB|SDSS|SDSS_r            5491.760519168346    All      0.5665748365291754         0.27782936764513266        -3.590434685533525         -0.2542785084046045        
Zeropoint     AB|SDSS|SDSS_i            6659.719491474095    All      1.003601254650658          0.06717846563084606        2.939028988965563          -0.173868344472811         
Zeropoint     AB|SDSS|SDSS_g            4202.767336284911    All      -0.5594904525195893        0.5515556018441004         -0.12882377113531243       0.35615543899614066        
Zeropoint     AB|SDSS|SDSS_z            7917.851330118857    All      0.1253150337556974         0.0024768623191562256      0.2240558598905662         -0.03001384971711193       
Check         All|All|All               All                  All      0.9952167458216313         1.0011461578679715         0.045457181402727115       0.003959949804076133       
Lambda        AB|SDSS|SDSS_u            3196.148029587537    All      -8.197554745420458e-05     6.332730232139501e-05      0.00044627398319095797     6.724507670122503e-05      
Lambda        AB|SDSS|SDSS_r            5491.760519168346    All      8.693483485872801e-05      4.979997807610868e-05      -0.00038599364835779167    -2.9321168276103192e-05    
Lambda        AB|SDSS|SDSS_i            6659.719491474095    All      -0.00031296959860550367    -2.7768430067272304e-05    -0.0009531347390099583     5.036537762015213e-05      
Lambda        AB|SDSS|SDSS_g            4202.767336284911    All      -0.00026930136030381424    0.00019985936621790782     -0.0008975230600349137     0.00011276875156252081     
Lambda        AB|SDSS|SDSS_z            7917.851330118857    All      -1.3888310876152113e-05    4.190358590596699e-07      -6.2582701786311e-05       1.8675949806147157e-06     
MWEBV         All|All|All               All                  All      -0.8462612724766658        -3.3970768702136667        0.9325666733180127         -0.7892683920170793        
Redshift      All|All|All               All                  All      1.583502761872692          -0.32481314085579527       -4.287812580518189         -0.8129466535047164        
