#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6064.202755109457    All      1.1287912613027289         0.02257184247946853        0.23680162746331224        -0.349764689205468         
Zeropoint     AB|PS|PS_g                4775.218051310828    All      -1.1211784395948672        1.218157294454869          -0.2135611643752422        0.7524683565245368         
Zeropoint     AB|PS|PS_i                7345.062901465199    All      0.6128594602134174         -0.16932064313870399       -0.26260170729699994       -0.26650050073348874       
Zeropoint     AB|PS|PS_z                8441.269519263362    All      0.3785790120331681         -0.07191288193570955       0.24370611983581258        -0.13586454578220566       
Check         All|All|All               All                  All      0.9990512939544475         0.9994956118599241         0.004344875626882683       0.0003386208033744065      
Lambda        AB|PS|PS_r                6064.202755109457    All      -0.0001804839888419974     -3.92251023549793e-05      -0.00047882473746495237    2.4644917737563397e-05     
Lambda        AB|PS|PS_g                4775.218051310828    All      -0.00044998233017756154    4.79454175893585e-05       -0.001413418315958266      9.911708093831845e-05      
Lambda        AB|PS|PS_i                7345.062901465199    All      -0.00010906429946943777    -0.00011026060248675667    -0.0011572393765696        -5.203195361803065e-05     
Lambda        AB|PS|PS_z                8441.269519263362    All      0.0003372693617046774      -9.342906515414345e-05     -1.6219406718554884e-05    -0.00014101644481409216    
MWEBV         All|All|All               All                  All      -0.6822653006529626        -4.048323431757872         0.004051457277504111       -1.09625507539345          
Redshift      All|All|All               All                  All      5.442248998752909          1.187490841036798          3.989627600907214          -1.2078759532220922        
